user_id,rec_1,rec_2,rec_3
302,8,5,4
303,5,4,65
304,4,5,8
305,13,14,7
306,4,5,10
307,5,8,2
308,167,283,54
309,4,5,14
310,146,291,30
311,1,4,5
312,2,4,1
313,13,14,125
314,2,18,25
315,705,1123,915
316,5,11,30
317,553,578,670
318,2,4,1
319,7,13,19
320,7,19,25
321,7,55,15
322,4,59,50
323,2,18,11
324,4,2,28
325,33,18,23
326,4,5,45
327,143,235,112
328,4,31,33
329,14,28,55
330,8,65,5
331,2,14,29
332,4,5,2
333,23,4,7
334,30,313,320
335,4,5,11
336,2277,2261,2214
337,5,14,28
338,28,29,7
339,5,28,55
340,2937,1572,1895
341,1,18,24
342,16,8,13
343,46,11,57
344,5,28,55
345,5,8,13
346,4,5,16
347,13,5,28
348,1,24,17
349,32,48,58
350,17,31,20
351,11,143,16
352,4,5,14
353,2608,1857,1863
354,4,7,5
355,4,5,8
356,23,21,1
357,4,2,37
358,31,4,1
359,143,31,4
360,2,5,18
361,28,13,176
362,8,2,13
363,2,31,4
364,4,5,31
365,1,4,16
366,32,55,1
367,5,8,4
368,4,5,11
369,13,5,28
370,25,72,1
371,481,1690,7
372,5,1,19
373,1,30,17
374,2,5,14
375,8,28,13
376,7,19,28
377,30,31,4
378,7,13,14
379,19,1630,1602
380,13,14,4
381,13,14,28
382,13,4,5
383,1,17,20
384,46,5,16
385,31,16,8
386,4,5,25
387,2,15,42
388,3,5,11
389,13,14,28
390,1838,2016,2393
391,4909,6580,6163
392,31,22,1
393,1,58,29
394,4,5,25
395,5,28,8
396,67,1,5
397,4,13,16
398,1,19,15
399,4,5,8
400,28,15,38
401,24,4,29
402,5,2,1
403,2,22,28
404,14,5,28
405,143,262,235
406,5,4,13
407,4,11,22
408,1479,3309,2518
409,1,17,20
410,4,8,11
411,4,2,28
412,28,32,29
413,1,5,7
414,267,262,235
415,1,2,22
416,47,81,64
417,22,57,67
418,14,5,13
419,13,8,2
420,8,5,65
421,31,11,22
422,1,3,10
423,11,115,45
424,1,2,17
425,2,25,13
426,168,176,243
427,4,8,5
428,4308,4680,1680
429,11,31,4
430,28,21,32
431,31,8,22
432,31,11,46
433,57,4,33
434,61,143,16
435,31,11,4
436,13,5,8
437,4,11,31
438,27,25,1
439,2,8,15
440,22,32,2
441,4,11,2
442,1,61,17
443,8,11,32
444,8,13,14
445,4,5,8
446,1,31,15
447,20,3,8
448,4,8,13
449,37,28,32
450,2,10,18
451,1,17,20
452,11,22,57
453,58,113,129
454,7,1,19
455,16,1,28
456,4,5,11
457,2,4,5
458,48,1,37
459,2911,2341,1840
460,134,183,91
461,4,31,11
462,2,4,5
463,1,37,54
464,5,4,32
465,13,65,14
466,61,31,146
467,4,25,37
468,57,2,100
469,4,1,11
470,2,4,2245
471,4,2,20
472,4,5,2
473,16,31,5
474,30,437,6
475,55,28,48
476,5,1,15
477,4,8,13
478,7056,2347,205
479,32,1,37
480,31,22,16
481,13,5,8
482,70,13,442
483,13,11,32
484,4,2,13
485,28,25,55
486,28,65,2
487,8,22,33
488,5,29,19
489,16,11,7
490,14,28,1
491,8,32,65
492,141,1,1029
493,2,4,24
494,11,5,1
495,4,13,14
496,8008,5512,5340
497,55,29,65
498,2,32,1
499,4,14,10
500,7,2959,3244
501,2,7,18
502,1127,1228,1340
503,4,16,57
504,2,1,5
505,13,7,14
506,10,15,1
507,46,11,57
508,1876,2525,2641
509,1,4,31
510,5,13,14
511,4,2,1
512,13,14,19
513,37,8,14
514,7,19,4
515,5,8,13
516,55,54,7
517,7,19,28
518,7,1077,54
519,2,4,5
520,2,4,57
521,14,28,48
522,65,8,5
523,8,65,13
524,1228,1304,1127
525,13,14,54
526,23,4,5
527,1,13,2
528,30,146,4
529,2,4,13
530,5,24,13
531,4,32,1
532,4,13,15
533,4,1,11
534,30,61,115
535,14,28,2
536,2,19,54
537,4,25,1
538,4,25,1
539,5,13,115
540,7,4,8
541,2470,2881,1337
542,14,28,32
543,18,7,24
544,146,4,11
545,143,112,262
546,28,4,7
547,11,31,16
548,7,55,54
549,8,5,28
550,4,2,1
551,30,61,146
552,13,5,65
553,5,4,13
554,2,7,19
555,2,1,7042
556,7,13,8
557,4,37,19
558,4,46,11
559,7,19,54
560,143,61,1
561,25,5,10
562,4,28,32
563,1,37,17
564,4,1,14
565,11,2,16
566,1,10,16
567,30,47,4
568,5,4,8
569,13,4,5
570,2,7,19
571,28,14,2
572,4,10,8
573,14,32,10
574,8,5,4
575,2,4,5
576,30,46,143
577,1,2,18
578,19,54,4
579,1,2,11
580,15,31,8
581,3705,3982,4358
582,30,4,16
583,4,5,37
584,4,13,14
585,1,33,28
586,61,30,320
587,7,26,19
588,4,2,5
589,2,18,24
590,25,1,28
591,25,4,5
592,4,5,33
593,22,1,46
594,4,5,8
595,8,14,55
596,61,143,4
597,192,307,1200
598,8,28,14
599,25,7,1
600,25,16,31
601,30,61,146
602,2489,2452,1768
603,13,2,48
604,5,2,8
605,31,1,33
606,4,5,11
607,2501,2881,3654
608,4,22,57
609,61,31,16
610,1,29,15
611,13,5,28
612,4,16,5
613,25,2549,39
614,2,8,13
615,8,13,42
616,14,28,32
617,2,4,18
618,2,7,4
619,2,12,36
620,115,11,4
621,1,31,22
622,143,61,146
623,8,1,14
624,4,2,5
625,2470,6144,283
626,13,8,65
627,1,7,4
628,2,3,16
629,1,102,37
630,5,7,30
631,437,438,146
632,5,28,55
633,31,11,57
634,23,5,7
635,2,60,42
636,10,2,42
637,31,38,1
638,4,13,8
639,4,13,14
640,318,459,30
641,4,45,101
642,1,10,48
643,5,46,26
644,318,262,31
645,4,11,46
646,2,18,23
647,4,38,16
648,28,1,16
649,411,308,761
650,4,2,11
651,1,3,4
652,57,2,100
653,28,48,1
654,4,1,16
655,46,4,2
656,4,13,16
657,7,19,25
658,7,4,55
659,57,4,2261
660,2,18,25
661,167,39,389
662,57,11,64
663,2,5,18
664,4,1,30
665,4,13,2
666,2,25,21
667,4,5,2
668,146,143,61
669,46,22,11
670,2,18,5
671,18,23,2
672,1,2,30
673,4,2,5
674,28,32,115
675,31,4,11
676,5,4,29
677,69,183,3
678,30,143,267
679,19,54,7
680,1,17,20
681,11,30,46
682,9,2,1
683,57,45,100
684,11,8,31
685,5,8,4
686,46,57,11
687,25,37,1
688,14,27,25
689,4,13,5
690,4,5,2
691,1278,1374,1638
692,13,5,4
693,4,2,5
694,4,21,13
695,14,16,10
696,4,2,30
697,31,57,2
698,13,28,101
699,13,55,131
700,1,47,17
701,31,11,22
702,4,28,32
703,5,8,13
704,1390,1627,1606
705,562,862,39
706,8,13,28
707,2,4,50
708,5,8,13
709,2,5,13
710,19,54,4
711,4,5,2
712,5,15,1
713,4,2,30
714,25,1,16
715,48,19,131
716,16,2,1
717,4,5,8
718,13,14,28
719,4,13,28
720,30,16,61
721,14,32,2
722,143,146,235
723,31,57,33
724,5,4,13
725,4,2,5
726,4,8,7
727,5,4,8
728,4,5,8
729,61,30,437
730,4,5,42
731,7,48,58
732,22,5,33
733,5,13,33
734,31,1,4
735,14,58,29
736,2,7,13
737,11,31,8
738,7,13,54
739,4,13,37
740,5,13,1
741,2452,2489,3362
742,4,7,5
743,330,746,510
744,7,13,19
745,11,33,57
746,28,1,10
747,4,125,10
748,11,46,22
749,14,29,48
750,28,7,1
751,33,22,17
752,5,9,2
753,30,320,262
754,1,31,2
755,4,31,13
756,2,5,7
757,2830,227,86
758,3,108,64
759,5,31,7
760,31,8,46
761,4,16,2
762,11,4,22
763,13,14,28
764,2718,2489,2677
765,7,48,10
766,31,46,235
767,7,2,4
768,5,11,45
769,2,31,1
770,1,8,2
771,4,1,5
772,32,1,39
773,4,13,5
774,31,4,46
775,4,5,1
776,1,2,19
777,2,5,13
778,2,14,32
779,13,14,28
780,31,22,4
781,7,25,19
782,13,28,14
783,4,38,5
784,1,24,25
785,1,4,5
786,4,1,18
787,61,143,267
788,31,46,22
789,2,4,18
790,14,19,26
791,5,14,13
792,2,59,18
793,2,7,24
794,31,30,16
795,8,29,11
796,4,13,14
797,4,16,100
798,61,4,5
799,11,4,81
800,61,143,30
801,31,4,16
802,2,8,1
803,4,11,30
804,2,18,13
805,61,30,267
806,28,27,25
807,64,1,11
808,8,14,4
809,2881,3654,305
810,27,25,29
811,4,2,5
812,5,28,32
813,5,1,11
814,7,13,32
815,1,5,18
816,4,19,1
817,4,5,2
818,4,1,11
819,2,4,24
820,11,46,16
821,14,32,1
822,1,33,10
823,3,4,26
824,28,14,118
825,1,2,39
826,1,2,4
827,47,4,11
828,4,16,2
829,4,31,1
830,2881,3654,5099
831,30,235,31
832,13,8,4
833,5,13,14
834,5,7,32
835,32,55,101
836,4,2,5
837,2,4,5
838,2,25,4
839,4,28,55
840,2,4,7
841,65,13,8
842,143,146,112
843,1,30,61
844,2,5,8
845,1,61,16
846,5,8,55
847,112,30,437
848,5,7,13
849,2,4,47
850,28,55,7
851,5,28,22
852,8,13,14
853,5,4,11
854,4,31,2
855,155,14,1
856,389,603,565
857,6,46,26
858,4,25,5
859,3654,3547,2
860,4,31,2
861,7,55,1
862,2,4,3
863,5,4,11
864,4,5,8
865,11,4,57
866,19,55,5
867,2,25,24
868,4,31,1
869,1,2,4
870,7,19,2
871,4,14,7
872,112,1,31
873,31,4,16
874,31,47,112
875,31,46,5
876,112,30,438
877,57,22,33
878,2,31,3
879,8,13,14
880,14,7,2
881,30,22,1
882,13,65,14
883,4,5,10
884,2,24,25
885,14,1,15
886,16,1,4
887,2,4,7
888,13,14,45
889,31,1,318
890,3025,16,4
891,7,13,54
892,46,4,33
893,4,2,13
894,31,146,47
895,7,70,54
896,46,33,30
897,2,7,14
898,54,13,126
899,4,5,11
900,4,13,14
901,16,24,30
902,4,25,11
903,8,4,14
904,13,7,4
905,1,28,43
906,2,3,18
907,5,8,13
908,13,115,14
909,5,2,29
910,2,4,16
911,31,11,46
912,13,29,1
913,4,5,8
914,28,1,7
915,14,1,8
916,4,1,14
917,4,5,2
918,5,4,8
919,1,11,22
920,5,28,113
921,8,11,28
922,57,22,47
923,2718,2043,2109
924,16,111,231
925,8,5,13
926,28,7,55
927,112,320,291
928,32,10,55
929,48,25,1
930,32,2,29
931,11,47,4
932,4,15,18
933,11,22,4
934,4,5,8
935,8,32,7
936,10,55,15
937,11,5,31
938,4,38,81
939,1,2,18
940,37,2,59
941,1,17,20
942,13,2,19
943,2,11,15
944,13,8,65
945,16,8,38
946,4,11,5
947,4,2,8
948,2,1,7
949,4,5,33
950,8,2,32
951,13,28,5
952,1,19,15
953,2639,4358,2893
954,4,13,5
955,5,8,29
956,17,20,7
957,2,14,48
958,2,1,18
959,4,10,26
960,5,60,67
961,4,18,27
962,4,5,2
963,4,5,8
964,4,11,5
965,39,1023,1
966,13,14,5
967,1,31,6
968,4,7,37
969,13,4,28
970,4,2,16
971,4,2,5
972,22,81,47
973,2,7,29
974,13,54,65
975,4,20,5
976,14,1,15
977,2,18,24
978,4,5,8
979,13,7,8
980,16,33,8
981,4,5,14
982,8,55,4
983,4,13,45
984,115,31,4
985,4,11,30
986,4,5,24
987,13,14,32
988,112,235,437
989,5,32,14
990,8,4,13
991,28,29,7
992,37,39,48
993,31,5,1
994,1,31,22
995,7,5,8
996,5,4,65
997,13,5,14
998,17,143,4
999,2,18,24
1000,4,2,305
1001,13,14,8
1002,28,14,37
1003,4,13,28
1004,7,13,4
1005,4,5,8
1006,4,1,11
1007,2,4,37
1008,4,5,20
1009,4,33,5
1010,5,13,4
1011,70,4,1
1012,4,33,2
1013,8,2,13
1014,19,2,18
1015,46,30,11
1016,7,19,25
1017,262,1220,567
1018,4,5,2
1019,31,11,4
1020,4,8,13
1021,143,61,267
1022,2271,2,2718
1023,4,8,14
1024,5,4,14
1025,4,2,5
1026,30,46,313
1027,13,4,8
1028,1,5,16
1029,14,29,19
1030,5,28,2
1031,146,31,1
1032,8,14,28
1033,13,14,1
1034,7,48,25
1035,11,46,4
1036,7,28,19
1037,4,33,28
1038,30,8,10
1039,143,61,458
1040,13,65,55
1041,54,7,2
1042,13,28,1
1043,31,1,16
1044,2,37,18
1045,433,889,1336
1046,4,5,28
1047,4,7,5
1048,1,30,6
1049,13,65,14
1050,4,14,7
1051,1,16,9
1052,4,54,70
1053,4,1,5
1054,13,7,24
1055,28,32,14
1056,191,568,2
1057,8,5,4
1058,5,2,11
1059,2,27,21
1060,2,28,13
1061,4,2,7
1062,1,17,20
1063,5,31,46
1064,4,10,2
1065,31,2,4
1066,5,8,13
1067,1,6,17
1068,4,5,8
1069,13,28,4
1070,13,14,65
1071,31,1,47
1072,1578,1838,2121
1073,14,10,32
1074,25,29,15
1075,2,7,18
1076,11,43,33
1077,4,5,18
1078,4,5,18
1079,13,14,4
1080,5,28,10
1081,32,31,16
1082,16,46,11
1083,4,46,16
1084,2,11,61
1085,43,13,58
1086,2944,2881,3654
1087,2737,2746,3066
1088,4,5,13
1089,28,32,1
1090,7,13,14
1091,4,33,31
1092,4,1,42
1093,2043,2489,894
1094,30,146,31
1095,2,1,24
1096,4,11,8
1097,4,5,2
1098,46,262,11
1099,13,14,7
1100,7,39,19
1101,4,8,28
1102,4,13,14
1103,31,4,16
1104,13,16,14
1105,143,146,6
1106,55,7,2
1107,14,4,8
1108,11,46,33
1109,13,48,37
1110,2,24,27
1111,24,27,21
1112,13,5,14
1113,13,4,28
1114,26,6399,12
1115,32,7,55
1116,2,4,18
1117,4,5,8
1118,4,5,30
1119,39,7,54
1120,2718,1722,2611
1121,5,146,4
1122,14,28,65
1123,14,55,65
1124,8,14,28
1125,4,16,26
1126,31,8,22
1127,25,8,9
1128,61,267,146
1129,13,1,14
1130,16,46,11
1131,8,32,65
1132,4,5,8
1133,1,2,61
1134,5,11,13
1135,31,8,16
1136,2,330,21
1137,1,31,17
1138,4,29,10
1139,14,10,2
1140,1,3,51
1141,318,31,1
1142,3394,2774,4636
1143,31,10,13
1144,5,22,2
1145,28,13,14
1146,4,5,7
1147,5,11,33
1148,2,5,19
1149,13,5,8
1150,14,55,28
1151,7,13,54
1152,6,2,47
1153,28,5,8
1154,4,25,5
1155,11,4,2
1156,30,1,4
1157,2,1,26
1158,5,8,13
1159,4,7,28
1160,14,65,55
1161,31,5,11
1162,29,13,14
1163,4,5,11
1164,19,13,14
1165,1,4,2
1166,4,13,14
1167,5,29,28
1168,2,5,23
1169,8,10,32
1170,1,143,4
1171,2,389,565
1172,1,17,4
1173,31,16,1
1174,4,5,24
1175,25,37,1
1176,13,55,48
1177,4,5,8
1178,4,8,2
1179,4,45,13
1180,4,25,8
1181,8,5,65
1182,30,146,31
1183,7,54,48
1184,4,11,5
1185,4,5,2
1186,61,31,320
1187,47,262,4
1188,14,28,2
1189,113,15,2
1190,146,291,61
1191,5,4,13
1192,146,262,267
1193,7,13,14
1194,1,6,17
1195,11,33,22
1196,4,1,5
1197,14,28,32
1198,31,1,46
1199,13,54,70
1200,54,13,2081
1201,1278,39,862
1202,13,5,14
1203,1,2,17
1204,8,13,4
1205,1,36,59
1206,13,55,54
1207,2,4,61
1208,19,37,29
1209,13,28,55
1210,2,13,5
1211,2981,4022,2773
1212,7,37,1
1213,146,61,4
1214,4,2,5
1215,5,13,14
1216,30,143,262
1217,8,5,13
1218,28,59,1
1219,5,7,54
1220,8,2,1
1221,2,1,18
1222,320,437,313
1223,1686,5304,4678
1224,4,2,16
1225,4,31,22
1226,22,2,11
1227,70,7,54
1228,18,42,24
1229,7,19,37
1230,556,349,1248
1231,5,4,8
1232,13,54,8
1233,4,8,11
1234,4,13,5
1235,1,8986,8
1236,28,54,55
1237,1,31,16
1238,38,2,5
1239,1,4,6
1240,14,5,13
1241,37,2,7
1242,4,11,16
1243,4,1,5
1244,4,5,2
1245,2,25,21
1246,32,48,7
1247,5,46,33
1248,8,13,14
1249,2,46,4
1250,123,26,1
1251,7,2,58
1252,11,33,1
1253,11,13,45
1254,4,2,5
1255,28,32,2
1256,143,46,11
1257,14,5,23
1258,13,14,8
1259,28,65,131
1260,11,22,1
1261,13,28,32
1262,1,17,7
1263,4,11,16
1264,2,4,31
1265,18,25,17
1266,5,30,8
1267,4,2,11
1268,45,8,15
1269,1,17,6
1270,4,8,5
1271,33,100,1
1272,112,235,6
1273,7,129,2
1274,24,27,6684
1275,31,7,10
1276,2,16,18
1277,1,2,5
1278,2,18,24
1279,31,235,46
1280,318,31,262
1281,2,18,24
1282,4,10,5
1283,16,8,15
1284,10,38,3
1285,13,8,28
1286,33,10,58
1287,31,44,46
1288,143,112,774
1289,64,46,1
1290,11,4,57
1291,5,4,8
1292,13,2,2461
1293,13,28,55
1294,33,2,5
1295,31,1,2
1296,16,29,17
1297,7006,5861,7208
1298,61,31,6
1299,16,112,47
1300,46,61,16
1301,1,17,20
1302,4,16,11
1303,1,30,12
1304,7,13,27
1305,13,14,5
1306,7,25,19
1307,2,1,3
1308,1,46,22
1309,4,22,10
1310,57,30,38
1311,1690,1654,7
1312,774,581,1668
1313,4,16,2
1314,1,61,30
1315,32,11,2
1316,22,5,38
1317,51,153,134
1318,4,31,11
1319,24,27,2
1320,13,5,4
1321,4,5,8
1322,8,4,30
1323,4,5,8
1324,16,22,17
1325,2,4,7
1326,11,13,28
1327,46,11,57
1328,7,2,13
1329,5,37,13
1330,4,8,5
1331,343,833,2
1332,61,581,774
1333,13,5,8
1334,32,11,10
1335,13,4,28
1336,4,5,8
1337,4,33,38
1338,1,17,69
1339,4,5,59
1340,5,2,13
1341,9,16,4
1342,4,5,8
1343,32,13,2
1344,33,25,27
1345,7,54,2
1346,5,28,14
1347,11,16,10
1348,31,313,438
1349,4,5,10
1350,19,70,25
1351,2,25,21
1352,31,13,16
1353,37,7,2
1354,13,14,32
1355,1151,1181,1067
1356,1,5,10
1357,7,10,19
1358,13,1,7
1359,30,112,146
1360,143,146,551
1361,22,11,31
1362,4,50,2
1363,2,30,4
1364,562,192,307
1365,1,17,20
1366,13,4,2
1367,2,16,33
1368,8,7,43
1369,65,2,7
1370,37,59,2
1371,894,1924,2043
1372,46,16,57
1373,146,13,65
1374,32,43,1
1375,18,21,25
1376,4,30,11
1377,46,33,57
1378,30,231,81
1379,31,146,438
1380,944,915,3065
1381,5,8,11
1382,46,57,16
1383,5,10,37
1384,46,11,47
1385,4,11,26
1386,31,146,320
1387,1,24,23
1388,4,22,100
1389,30,235,318
1390,4,5,29
1391,2,7,4
1392,4,5,2
1393,5,8,14
1394,4,25,8
1395,57,33,4
1396,14,8,4
1397,4,1,5
1398,4,7,54
1399,2,4,7
1400,31,11,4
1401,30,262,146
1402,1,2,17
1403,8,33,13
1404,4,16,11
1405,31,2,3
1406,14,13,125
1407,143,61,11
1408,15,37,19
1409,2,65,131
1410,146,143,141
1411,2,13,42
1412,4,5,31
1413,2,25,24
1414,31,16,46
1415,1,22,17
1416,4,2,5
1417,14,32,43
1418,31,4,30
1419,4,5,2
1420,13,32,65
1421,13,7,19
1422,5,8,14
1423,2,5,3
1424,16,100,45
1425,4,1,16
1426,308,1,3
1427,2,18,27
1428,11,16,112
1429,11,22,5
1430,2,4,5
1431,16,8,15
1432,25,4,5
1433,4,2,231
1434,5,8,28
1435,4,7,37
1436,6,30,235
1437,9,31,16
1438,4,16,10
1439,11,57,10
1440,31,4,11
1441,14,54,55
1442,46,30,1
1443,8,7,13
1444,5,8,10
1445,1,2,4
1446,143,30,5
1447,8,13,11
1448,28,32,15
1449,31,16,15
1450,46,57,4
1451,13,7,729
1452,13,5,4
1453,25,13,5
1454,28,37,32
1455,24,26,5
1456,29,1,25
1457,1,17,74
1458,1,8,13
1459,13,2,7
1460,4,5,28
1461,1654,27,2081
1462,4,2,11
1463,31,30,4
1464,2,37,7
1465,13,14,7
1466,25,27,21
1467,2,6,47
1468,4,33,5
1469,2,20,18
1470,25,1,17
1471,46,22,57
1472,13,14,5
1473,4,16,2
1474,176,553,305
1475,4,14,13
1476,5,13,14
1477,320,313,31
1478,13,19,14
1479,4,57,11
1480,143,438,437
1481,11,13,2
1482,28,48,70
1483,33,235,18
1484,16,2,15
1485,14,2,29
1486,2,4,7
1487,2,17,20
1488,25,4,1
1489,55,19,48
1490,4,11,46
1491,4,5,28
1492,46,24,4
1493,5,13,14
1494,4,2,17
1495,4,5,8
1496,5,7,31
1497,1,5,14
1498,61,320,115
1499,7,55,19
1500,1,5,10
1501,2,5,10
1502,553,670,967
1503,1,22,13
1504,4,32,1
1505,4,5,13
1506,31,30,4
1507,4,8,13
1508,4,11,46
1509,46,57,16
1510,8,15,32
1511,2,5,31
1512,22,67,2
1513,4,5,28
1514,2,4,5
1515,22,2,4
1516,13,32,2
1517,267,30,320
1518,13,14,22
1519,4,8,11
1520,4,10,55
1521,4,31,33
1522,27,25,5
1523,5,8,2
1524,2,4,30
1525,1,3,15
1526,14,32,58
1527,1,8,18
1528,2,1,28
1529,28,29,58
1530,2,4,9
1531,4,1,2
1532,2,15,33
1533,4,5,8
1534,5,29,13
1535,30,31,4
1536,4,2,28
1537,4,55,32
1538,28,13,14
1539,46,81,38
1540,1,17,20
1541,19,48,1
1542,4,11,33
1543,30,8,31
1544,22,4,1
1545,4,16,38
1546,2,4,5
1547,30,31,267
1548,123,3680,3876
1549,28,2,14
1550,33,28,45
1551,4,22,1
1552,4914,1,192
1553,4,5,8
1554,8,33,32
1555,5,32,55
1556,65,32,54
1557,17,46,20
1558,2,4,7
1559,1,17,20
1560,5,1,8
1561,8,30,45
1562,2016,2121,1876
1563,11,4,30
1564,5,8,16
1565,13,14,29
1566,16,4,115
1567,2,5,31
1568,31,1,16
1569,2,25,24
1570,4,2,5
1571,4,5,8
1572,4,11,5
1573,13,14,8
1574,4,11,5
1575,61,143,30
1576,123,4,22
1577,11,4,22
1578,2,1,28
1579,4,2,5
1580,22,57,100
1581,113,48,58
1582,59,37,42
1583,4,55,65
1584,10,28,32
1585,16,31,7
1586,4,11,8
1587,13,65,8
1588,64,16,57
1589,46,11,57
1590,13,28,7
1591,2,24,27
1592,11,4,16
1593,4,5,2
1594,31,4,11
1595,13,4,5
1596,4,33,2
1597,30,46,112
1598,4,3,31
1599,433,3,49
1600,5,4,14
1601,61,235,318
1602,31,6,226
1603,7,13,4
1604,5,16,28
1605,31,46,4
1606,2,4,18
1607,32,29,2
1608,11,28,13
1609,4,5,2
1610,13,14,8
1611,2,1,7
1612,14,32,55
1613,138,37,2
1614,32,29,19
1615,7583,9128,2237
1616,7,4,2
1617,54,19,13
1618,4,20,5
1619,2718,2677,2470
1620,4,28,31
1621,12,1,17
1622,41,2,25
1623,2658,3359,1337
1624,2,1,37
1625,4,13,14
1626,4,5,2
1627,4,8,11
1628,4,2,5
1629,2549,1,56
1630,1,7,28
1631,5,28,55
1632,13,4,5
1633,1,143,17
1634,31,16,38
1635,8,1,32
1636,5665,2235,6212
1637,65,13,5
1638,57,4,38
1639,143,30,262
1640,2,22,46
