book_id,isbn,title,original_title,original_publication_year,language_code,genre
21,0439358078,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",Harry Potter and the Order of the Phoenix,2003.0,eng,Fantasía
22,0316166685,The Lovely Bones,The Lovely Bones,2002.0,eng,Ficción
23,0439064864,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",Harry Potter and the Chamber of Secrets,1998.0,eng,Fantasía
24,0439139600,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",Harry Potter and the Goblet of Fire,2000.0,eng,Fantasía
25,0545010225,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",Harry Potter and the Deathly Hallows,2007.0,eng,Fantasía
26,0307277674,"The Da Vinci Code (Robert Langdon, #2)",The Da Vinci Code,2003.0,eng,Thriller
27,0439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Harry Potter and the Half-Blood Prince,2005.0,eng,Fantasía
28,0140283331,Lord of the Flies,Lord of the Flies ,1954.0,eng,Clásicos
29,0743477111,Romeo and Juliet,An Excellent conceited Tragedie of Romeo and Juliet,1595.0,eng,Clásicos
30,0297859382,Gone Girl,Gone Girl,2012.0,eng,Thriller
31,0399155341,The Help,The Help,2009.0,eng,Ficción histórica
32,0142000671,Of Mice and Men,Of Mice and Men ,1937.0,eng,Clásicos
33,0739326228,Memoirs of a Geisha,Memoirs of a Geisha,1997.0,eng,Ficción histórica
34,1612130291,"Fifty Shades of Grey (Fifty Shades, #1)",Fifty Shades of Grey,2011.0,eng,Romántica
35,0061122416,The Alchemist,O Alquimista,1988.0,eng,Ficción
36,0385732554,"The Giver (The Giver, #1)",The Giver,1993.0,eng,Juvenil
37,0060764899,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","The Lion, the Witch and the Wardrobe",1950.0,eng,Fantasía
38,0965818675,The Time Traveler's Wife,The Time Traveler's Wife,2003.0,eng,Romántica
39,0553588486,"A Game of Thrones (A Song of Ice and Fire, #1)",A Game of Thrones,1996.0,eng,Fantasía
40,0143038419,"Eat, Pray, Love","Eat, pray, love: one woman''s search for everything across Italy, India and Indonesia",2006.0,eng,Memorias
41,0786838655,"The Lightning Thief (Percy Jackson and the Olympians, #1)",The Lightning Thief,2005.0,eng,Juvenil
42,0451529308,"Little Women (Little Women, #1)",Little Women,1868.0,eng,Clásicos
43,0142437204,Jane Eyre,Jane Eyre,1847.0,eng,Clásicos
44,0553816713,"The Notebook (The Notebook, #1)",The Notebook,1996.0,eng,Romántica
45,0770430074,Life of Pi,Life of Pi,2001.0,,Ficción
46,1565125606,Water for Elephants,Water for Elephants,2006.0,eng,Ficción histórica
47,0375831002,The Book Thief,The Book Thief,2005.0,eng,Ficción histórica
48,0307347974,Fahrenheit 451,Fahrenheit 451,1953.0,spa,Ciencia ficción
49,0316160199,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",2006.0,eng,Juvenil
50,0060513039,Where the Sidewalk Ends,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,1974.0,eng,Poesía
51,1416914285,"City of Bones (The Mortal Instruments, #1)",City of Bones,2007.0,eng,Juvenil
52,0316160202,"Eclipse (Twilight, #3)",Eclipse,2007.0,eng,Juvenil
53,0375826696,"Eragon (The Inheritance Cycle, #1)",Eragon,2002.0,eng,Juvenil
54,0345391802,"The Hitchhiker''s Guide to the Galaxy (Hitchhiker''s Guide to the Galaxy, #1)",The Hitchhiker's Guide to the Galaxy,1979.0,eng,Ciencia ficción
55,0060929871,Brave New World,Brave New World,1932.0,eng,Clásicos
56,031606792X,"Breaking Dawn (Twilight, #4)",Breaking Dawn,2008.0,eng,Juvenil
57,0142001740,The Secret Life of Bees,The Secret Life of Bees,2001.0,eng,Ficción
58,0142437174,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,1884.0,eng,Clásicos
59,0064410935,Charlotte's Web,Charlotte's Web,1952.0,eng,Infantil
60,1400032717,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,2003.0,eng,Ficción
61,1594633665,The Girl on the Train,The Girl on the Train,2015.0,eng,Thriller
62,0679879242,"The Golden Compass (His Dark Materials, #1)",Northern Lights,1995.0,eng,Fantasía
63,0393978893,Wuthering Heights,Wuthering Heights,1847.0,eng,Clásicos
64,0743454537,My Sister's Keeper,My Sister's Keeper,2004.0,eng,Ficción
65,0385333846,Slaughterhouse-Five,"Slaughterhouse-Five, or The Children''s Crusade: A Duty-Dance with Death ",1969.0,eng,Clásicos
66,0446675539,Gone with the Wind,Gone with the Wind,1936.0,eng,Ficción histórica
67,1594489505,A Thousand Splendid Suns,A Thousand Splendid Suns,2007.0,eng,Ficción histórica
68,0671027344,The Perks of Being a Wallflower,The Perks of Being a Wallflower,1999.0,eng,Juvenil
69,0007442912,"Insurgent (Divergent, #2)",Insurgent,2012.0,eng,Juvenil
70,0812550706,"Ender''s Game (Ender''s Saga, #1)",Ender's Game,1985.0,eng,Ciencia ficción
71,0141439475,Frankenstein,"Frankenstein; or, The Modern Prometheus",1818.0,eng,Clásicos
72,0450040186,The Shining (The Shining #1),The Shining,1977.0,eng,Terror
73,0316068047,"The Host (The Host, #1)",The Host,2008.0,eng,Ciencia ficción
74,0142402516,Looking for Alaska,Looking for Alaska,2005.0,eng,Juvenil
75,014028009X,"Bridget Jones''s Diary (Bridget Jones, #1)",,1996.0,eng,Romántica
76,0141439661,Sense and Sensibility,Sense and Sensibility,1811.0,eng,Clásicos
77,0439244196,"Holes (Holes, #1)",Holes,1998.0,eng,Juvenil
78,0307275558,"The Devil Wears Prada (The Devil Wears Prada, #1)",The Devil Wears Prada,2003.0,eng,Ficción
79,0143039954,The Odyssey,Ὀδύσσεια,-720.0,eng,Clásicos
80,0156012197,The Little Prince,Le Petit Prince,1946.0,eng,Infantil
81,074324754X,The Glass Castle,The Glass Castle,2005.0,eng,Memorias
82,0385486804,Into the Wild,Into the Wild,1996.0,eng,No ficción
83,0141439602,A Tale of Two Cities,A Tale of Two Cities,1859.0,eng,Clásicos
84,030734813X,"Jurassic Park (Jurassic Park, #1)",Jurassic Park,1990.0,spa,Ciencia ficción
85,0060256656,The Giving Tree,The Giving Tree,1964.0,eng,Infantil
86,0385338600,A Time to Kill,A Time to Kill,1989.0,eng,Thriller
87,0374500010,Night (The Night Trilogy #1),Un di Velt Hot Geshvign,1958.0,eng,Memorias
88,014241493X,Paper Towns,Paper Towns,2008.0,eng,Juvenil
89,0345418263,The Princess Bride ,The Princess Bride,1973.0,eng,Aventura
90,014038572X,The Outsiders,The Outsiders,1967.0,eng,Juvenil
91,0385737947,"The Maze Runner (Maze Runner, #1)",The Maze Runner,2009.0,eng,Juvenil
92,0061234001,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,2005.0,eng,Ensayo
93,0517189607,The Secret Garden,The Secret Garden,1911.0,eng,Infantil
94,0060531045,One Hundred Years of Solitude,Cien años de soledad,1967.0,eng,Clásicos
95,0375751513,The Picture of Dorian Gray,The Picture of Dorian Gray,1891.0,eng,Clásicos
96,0345803507,"Fifty Shades Freed (Fifty Shades, #3)",Fifty Shades Freed,2012.0,eng,Romántica
97,0393970124,Dracula,Dracula,1897.0,eng,Clásicos
98,0307269981,"The Girl Who Played with Fire (Millennium, #2)",Flickan som lekte med elden,2006.0,eng,Thriller
99,1612130585,"Fifty Shades Darker (Fifty Shades, #2)",Fifty Shades Darker,2011.0,eng,Romántica
100,0060786507,The Poisonwood Bible,The Poisonwood Bible,1998.0,eng,Ficción histórica
101,0349113912,Me Talk Pretty One Day,Me Talk Pretty One Day,2000.0,eng,Memorias
102,0099408392,Where the Wild Things Are,Where the Wild Things Are,1963.0,eng,Infantil
103,0140449264,The Count of Monte Cristo,Le Comte de Monte-Cristo,1844.0,eng,Clásicos
104,0307265439,The Road,The Road,2006.0,eng,Ficción
105,0007524277,"Allegiant (Divergent, #3)",Allegiant,2013.0,eng,Juvenil
106,,Bossypants,Bossypants,2011.0,eng,Memorias
107,0446693804,A Walk to Remember,A Walk to Remember,1999.0,eng,Romántica
108,0440241413,"Confessions of a Shopaholic (Shopaholic, #1)",Confessions of a Shopaholic,2000.0,eng,Romántica
109,0451525264,Les Misérables,Les Misérables,1862.0,eng,Clásicos
110,0553381695,"A Clash of Kings  (A Song of Ice and Fire, #2)",A Clash of Kings,1998.0,eng,Fantasía
111,0143037145,The Memory Keeper's Daughter,The Memory Keeper's Daughter,2005.0,eng,Ficción
112,0670026603,"Me Before You (Me Before You, #1)",Me Before You,2012.0,eng,Romántica
113,0684833395,Catch-22,Catch-22,1961.0,eng,Clásicos
114,0751529818,Tuesdays with Morrie,Tuesdays with Morrie,1997.0,eng,Memorias
115,0312422156,Middlesex,Middlesex,2002.0,eng,Ficción
116,0143039563,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,1876.0,eng,Clásicos
117,0440498058,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",A Wrinkle in Time,1962.0,eng,Ciencia ficción
118,0143038095,The Joy Luck Club,The Joy Luck Club,1989.0,eng,Ficción
119,038549081X,The Handmaid's Tale,The Handmaid's Tale,1985.0,eng,Ciencia ficción
120,0385729332,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",The Sisterhood of the Traveling Pants,2001.0,eng,Juvenil
121,,Lolita,Lolita,1955.0,eng,Clásicos
122,0060987103,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Wicked: The Life and Times of the Wicked Witch of the West,1995.0,eng,Fantasía
123,0582418275,"The Firm (Penguin Readers, Level 5)",The Firm,1991.0,eng,Thriller
124,0316098337,Room,Room,2010.0,eng,Ficción
125,0521618746,Hamlet,"The Tragicall Historie of Hamlet, Prince of Denmark",1600.0,eng,Clásicos
126,0340839937,Dune (Dune Chronicles #1),Dune,1965.0,eng,Ciencia ficción
127,0316346624,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,2000.0,eng,Ensayo
128,1451648537,Steve Jobs,Steve Jobs,2011.0,eng,Biografía
129,0451163966,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1962.0,eng,Clásicos
130,0684830493,The Old Man and the Sea,The Old Man and the Sea,1952.0,eng,Clásicos
131,0142000663,The Grapes of Wrath,The Grapes of Wrath,1939.0,eng,Clásicos
132,1401308589,The Five People You Meet in Heaven,The Five People You Meet in Heaven,2003.0,,Ficción
133,0451528824,"Anne of Green Gables (Anne of Green Gables, #1)",Anne of Green Gables,1908.0,eng,Clásicos
134,1416914307,"City of Glass (The Mortal Instruments, #3)",City of Glass,2009.0,eng,Juvenil
135,055357342X,"A Storm of Swords (A Song of Ice and Fire, #3)",A Storm of Swords,2000.0,eng,Fantasía
136,006075995X,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,1996.0,eng,Ficción
137,0440242940,"Outlander (Outlander, #1)",Outlander,1991.0,eng,Ficción histórica
138,0142437263,The Scarlet Letter,The Scarlet Letter,1850.0,eng,Clásicos
139,1594744769,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Miss Peregrine’s Home for Peculiar Children,2011.0,eng,Juvenil
140,030726999X,"The Girl Who Kicked the Hornet''s Nest (Millennium, #3)",Luftslottet som sprängdes,2007.0,eng,Thriller
141,0804139024,The Martian,The Martian,2012.0,eng,Ciencia ficción
142,0451207149,"The Pillars of the Earth (The Kingsbridge Series, #1)",The Pillars of the Earth,1989.0,eng,Ficción histórica
143,1476746583,All the Light We Cannot See,,2014.0,eng,Ficción histórica
144,1400064163,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",2010.0,eng,Biografía
145,0671027387,Deception Point,Deception Point,2001.0,eng,Thriller
146,0316055433,The Goldfinch,The Goldfinch,2013.0,eng,Ficción
147,1595141715,Thirteen Reasons Why,Thirteen Reasons Why,2007.0,eng,Juvenil
148,0452287022,Girl with a Pearl Earring,Girl with a Pearl Earring,1999.0,eng,Ficción histórica
149,0525421033,"If I Stay (If I Stay, #1)",If I Stay,2009.0,eng,Juvenil
150,0312353766,The Red Tent,The Red Tent,1997.0,eng,Ficción histórica
151,0786856866,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",The Sea of Monsters,2006.0,eng,Juvenil
152,0446528056,Dear John,Dear John,2006.0,eng,Romántica
153,1416914293,"City of Ashes (The Mortal Instruments, #2)",City of Ashes,2008.0,eng,Juvenil
154,0743477103,Macbeth,The Tragedy of Macbeth,1606.0,eng,Clásicos
155,0618346260,"The Two Towers (The Lord of the Rings, #2)",The Two Towers,1954.0,eng,Fantasía
156,031232118X,"Something Borrowed (Darcy & Rachel, #1)",Something Borrowed,2004.0,eng,Romántica
157,0394800168,Green Eggs and Ham,Green Eggs and Ham,1960.0,eng,Infantil
158,0142403881,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Charlie and the Chocolate Factory,1964.0,eng,Infantil
159,1423101464,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",The Battle of the Labyrinth,2008.0,eng,Juvenil
160,0192833596,Great Expectations,Great Expectations,1860.0,eng,Clásicos
161,0345339738,"The Return of the King (The Lord of the Rings, #3)",The Return of the King,1955.0,eng,Fantasía
162,,The Stranger,L’Étranger,1942.0,eng,Clásicos
163,142311339X,"The Lost Hero (The Heroes of Olympus, #1)",The Lost Hero,2010.0,eng,Juvenil
164,1250012570,Eleanor & Park,Eleanor & Park,2013.0,eng,Juvenil
165,055358202X,"A Feast for Crows (A Song of Ice and Fire, #4)",A Feast for Crows,2005.0,eng,Fantasía
166,0525423648,"Matched (Matched, #1)",Matched,2010.0,eng,Juvenil
167,0747263744,"American Gods (American Gods, #1)",American Gods,2001.0,eng,Fantasía
168,0385199570,The Stand,The Stand,1978.0,eng,Terror
169,0446547565,The Last Song,The Last Song,2008.0,eng,Romántica
170,0552151696,Digital Fortress,Digital Fortress,1998.0,eng,Thriller
171,0141439580,Emma,Emma,1815.0,eng,Clásicos
172,0345803922,Anna Karenina,Анна Каренина,1877.0,eng,Clásicos
173,0393312836,A Clockwork Orange,A Clockwork Orange,1962.0,eng,Clásicos
174,0964729237,The Shack,The Shack: Where Tragedy Confronts Eternity,2007.0,eng,Religión y espiritualidad
175,0739380338,"The Last Olympian (Percy Jackson and the Olympians, #5)",The Last Olympian,2009.0,eng,Juvenil
176,0451169514,It,It,1986.0,eng,Terror
177,0143058142,Crime and Punishment,Преступление и наказание,1866.0,eng,Clásicos
178,0061148512,The Bell Jar,The Bell Jar,1963.0,eng,Clásicos
179,0007205236,"Angela''s Ashes (Frank McCourt, #1)",Angela's Ashes: A Memoir,1996.0,eng,Memorias
180,0553208845,Siddhartha,Siddhartha,1922.0,eng,Clásicos
181,0679745580,In Cold Blood,In Cold Blood,1965.0,eng,No ficción
182,0316042676,"Beautiful Creatures (Caster Chronicles, #1)",Beautiful Creatures,2009.0,eng,Juvenil
183,1416975861,"Clockwork Angel (The Infernal Devices, #1)",Clockwork Angel,2010.0,eng,Juvenil
184,0141301066,Matilda,Matilda,1988.0,eng,Infantil
185,0385534639,The Night Circus,The Night Circus,2011.0,eng,Fantasía
186,0743227441,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",The Other Boleyn Girl,2001.0,eng,Ficción histórica
187,0689865384,"Uglies (Uglies, #1)",Uglies,2005.0,eng,Juvenil
188,,"A Dance with Dragons (A Song of Ice and Fire, #5)",A Dance with Dragons,2011.0,eng,Fantasía
189,0618640150,"The Lord of the Rings (The Lord of the Rings, #1-3)",The Lord of the Rings,1955.0,eng,Fantasía
190,0307592731,Wild: From Lost to Found on the Pacific Crest Trail,Wild: From Lost to Found on the Pacific Crest Trail ,2012.0,eng,Memorias
191,0930289234,Watchmen,Watchmen,1987.0,eng,Cómic y novela gráfica
192,075640407X,"The Name of the Wind (The Kingkiller Chronicle, #1)",The Name of the Wind,2007.0,eng,Fantasía
193,0316017922,Outliers: The Story of Success,Outliers: The Story of Success,2008.0,eng,Ensayo
194,0142437247,"Moby-Dick or, The Whale","Moby Dick; or, The Whale",1851.0,eng,Clásicos
195,0385340990,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,2008.0,eng,Ficción histórica
196,0393327345,Fight Club,Fight Club,1996.0,eng,Ficción
197,0441008534,"Dead Until Dark (Sookie Stackhouse, #1)",Dead Until Dark,2001.0,eng,Fantasía
198,0671727796,The Color Purple,The Color Purple,1982.0,eng,Clásicos
199,0739461192,Marley and Me: Life and Love With the World's Worst Dog,Marley & Me: Life and Love with the World's Worst Dog,2005.0,eng,Memorias
200,0312330871,And Then There Were None,Ten Little Niggers,1939.0,eng,Misterio
201,0385504225,"The Lost Symbol (Robert Langdon, #3)",The Lost Symbol,2009.0,eng,Thriller
202,1416989412,"Hush, Hush (Hush, Hush, #1)","Hush, Hush",2009.0,eng,Juvenil
203,,"Beautiful Disaster (Beautiful, #1)",Beautiful Disaster,2011.0,eng,Romántica
204,1561797464,A Christmas Carol,A Christmas Carol,1843.0,,Clásicos
205,0345476875,"Interview with the Vampire (The Vampire Chronicles, #1)",Interview with the Vampire,1976.0,eng,Terror
206,0062059939,"The Selection (The Selection, #1)",The Selection,2012.0,eng,Juvenil
207,0312362080,"One for the Money (Stephanie Plum, #1)",One for the Money,1994.0,eng,Misterio
208,1400052173,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,2010.0,eng,No ficción
209,0099446782,"The Silence of the Lambs  (Hannibal Lecter, #2)",The Silence of the Lambs,1988.0,eng,Thriller
210,159514174X,"Vampire Academy (Vampire Academy, #1)",,2007.0,eng,Juvenil
211,0316010669,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,2005.0,eng,Ensayo
212,038572179X,Atonement,Atonement,2001.0,eng,Ficción
213,0553213695,The Metamorphosis,Die Verwandlung,1915.0,eng,Clásicos
214,0141382899,"The Titan''s Curse (Percy Jackson and the Olympians, #3)",The Titan's Curse,2007.0,eng,Juvenil
215,030788743X,Ready Player One,,2011.0,eng,Ciencia ficción
217,0739303406,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",2003.0,eng,Historia
218,0425263908,"Bared to You (Crossfire, #1)",Bared to You,2012.0,eng,Romántica
219,0066238501,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",The Chronicles of Narnia,1956.0,eng,Fantasía
