book_id,rec_1,rec_2,rec_3
2028,4992,4317,2192
2089,1936,476,704
2107,291,212,407
2163,7683,573,1330
2700,1920,1212,2137
2736,31,30,414
2833,1467,5022,5822
2848,551,1220,143
3409,1663,1506,708
3772,2411,5052,3410
3788,3208,771,1326
3946,144,7569,1256
4298,903,287,255
4363,4237,3456,3588
4531,5374,3913,2926
4856,1136,1242,551
5084,4973,6382,6045
5907,3088,1477,8357
5926,6587,2062,2145
6131,7245,4749,4904
6333,9407,5052,1158
7002,2508,8019,6389
7486,867,638,2449
7651,5983,7842,8532
8653,7271,1940,522
9240,822,5419,3869
9600,2449,8348,7486
9854,9621,150,1482
174,448,299,31
278,50,786,85
291,195,697,31
366,687,2174,2790
457,142,417,9
574,4013,5274,4394
595,387,138,5
662,378,1310,115
663,408,2298,3586
677,4545,6712,190
690,659,2425,3896
919,733,453,704
925,4108,669,3511
948,407,115,5187
1035,1333,128,3104
1315,3849,2129,2766
1317,1675,847,2368
1613,1282,380,1703
1640,231,414,31
1719,2862,3804,2213
1806,1675,1145,1762
1853,1239,2419,7277
2079,3703,3560,2559
2117,3307,217,1514
2213,2862,1719,4085
2284,436,657,662
2320,1309,9439,6400
2534,3479,3237,17
2559,7579,2079,3703
2650,1615,236,677
3048,3156,5851,8355
3560,3703,2079,7794
3703,2079,3560,2559
4096,8417,1154,1683
4231,6835,8590,4586
4994,1978,495,3561
5419,2029,2013,9961
5648,7458,1159,273
5930,2485,1248,1974
6191,1136,8676,467
6546,414,825,1640
6835,4231,5123,8590
6944,1739,4081,3033
7269,6055,7068,6392
7277,7755,8878,1239
7354,9890,8068,7123
7458,5648,273,1051
7794,2079,3703,9263
8175,6818,8973,9966
8950,9483,5468,3446
9483,8950,9240,1758
9606,7277,2419,1239
9717,9804,7439,8283
64,22,31,331
133,42,93,1210
173,129,13,113
195,31,57,396
270,43,66,63
272,118,1131,136
304,306,326,847
311,734,66,515
336,1379,1858,1763
417,195,46,31
477,1424,1600,1617
482,318,231,313
584,1682,192,215
625,847,1567,304
671,1058,1732,200
726,2890,242,6277
779,5448,100,436
802,1,1039,239
823,2030,2823,3957
848,1714,118,273
906,195,291,396
922,2970,4452,5639
1051,273,150,231
1058,671,1732,3229
1091,511,2296,2031
1171,5216,148,150
1361,2359,613,1012
1365,225,265,461
1424,1600,2393,1870
1600,1424,1870,2393
1607,902,2754,3280
1649,5097,5914,6383
1704,2552,2098,1074
1732,1058,671,5115
1833,195,396,1338
1870,1600,2393,1617
1871,3125,6561,5109
1934,6529,8322,336
2014,7371,1091,1871
2016,2135,2121,1838
2087,1762,847,1386
2135,2522,3144,2429
2368,3284,2820,3787
2393,2429,1600,2522
2429,2393,2245,2522
2497,2751,3198,3965
2823,5588,4909,3612
2857,6853,4779,4290
3021,291,273,2114
3178,3469,5563,6555
3280,3870,3705,4025
3322,4842,6299,148
3612,5588,6153,5668
3681,7287,4447,823
3870,3965,3280,4025
4265,2368,8731,3284
4347,901,1051,231
4349,3280,7211,2754
5109,8133,3125,6185
6277,7180,8541,9981
7287,3681,823,4447
9059,6523,9871,7647
61,30,143,262
144,143,31,291
267,143,61,318
313,318,143,267
320,30,235,689
359,67,143,437
459,267,2058,143
478,293,529,706
533,61,143,267
620,8750,122,8132
673,1792,146,983
702,3587,836,285
825,2322,273,3007
836,8184,285,678
930,414,291,2204
969,92,127,211
983,673,1539,1220
1012,2359,613,1361
1076,2037,1028,267
1173,61,1065,140
1252,143,673,146
1408,1006,2349,6893
1522,143,61,267
1688,2037,1076,2204
1700,673,146,1212
1712,3621,4295,4401
1758,1458,5392,2854
1892,5468,3958,4854
2037,1076,1688,1539
2137,2664,6443,1708
2256,2667,3890,5234
2555,8662,9768,4047
2835,3167,2622,3470
2837,610,1326,144
3010,5302,7752,8778
3427,9386,1334,697
3587,702,8184,3327
4212,5289,4247,5043
4724,3861,7634,5519
5043,2431,5289,5240
5090,8802,4703,5920
5240,4247,3380,2602
6446,4268,4863,6375
6723,1180,8634,2292
6837,1688,2204,4856
6990,2037,1220,697
8051,1672,7001,291
8066,1216,1051,273
8115,5551,7756,5126
9750,610,143,2788
9984,8524,3024,6600
9990,948,7370,3889
12,69,105,1
39,110,135,165
110,135,165,39
135,110,165,39
271,48,59,32
295,441,794,623
371,1179,633,126
502,3809,4325,5204
532,568,735,1623
682,167,283,8931
735,532,568,2111
820,268,212,1970
891,1034,1127,1228
1060,550,3287,1021
1077,5398,4874,5993
1188,5713,4762,680
1263,2140,2728,3670
1392,3598,5482,7257
1582,212,727,658
1657,5076,3338,3650
1676,2552,4517,1074
1682,584,215,192
1683,4620,985,5495
1745,4492,5652,187
2143,4019,7521,2678
2500,2084,1142,5707
2632,8128,3489,119
2852,215,239,39
3202,5330,4517,3068
3338,3650,9630,1657
3650,3338,5076,8975
3849,1315,5849,5202
4454,2102,1816,1263
4492,5652,1745,2711
5495,4620,1683,8064
5707,5306,3314,2084
5961,8316,7538,6876
7604,6169,2241,6150
8323,8229,2346,6693
9032,6463,6487,3661
9972,3133,5330,3068
68,6,74,88
92,127,211,1069
223,918,1137,1397
241,36,77,386
310,465,1107,1748
361,590,160,204
425,2122,621,234
432,276,789,890
465,310,1107,1748
635,6070,80,323
709,483,2339,8
918,1137,1397,1764
1039,802,4845,10
1042,1727,1332,1014
1137,918,1397,1764
1144,860,2188,1752
1217,2347,2604,1533
1329,1250,2466,350
1381,3524,4683,5347
1645,1389,2011,1236
1993,1633,1533,3340
2051,1299,1503,344
2339,709,483,405
2620,7103,2741,1258
2897,4418,5625,8045
2903,5283,3049,7151
3002,4359,1681,6607
3340,4251,4192,1993
4043,8028,1815,800
5625,2897,4418,9514
5950,195,2738,31
6644,238,81,1102
6820,5210,7622,9303
7260,6665,7214,4579
7735,4113,1892,2026
8045,4418,2897,5625
8440,3755,7409,1135
8842,2280,1583,564
9363,8269,4820,7260
209,431,72,1802
257,346,518,1486
353,154,714,248
461,265,118,225
606,1847,489,8152
736,1411,354,468
872,2024,614,1624
1113,2342,9667,7622
1178,293,116,478
1741,672,4240,2235
1910,1120,1695,792
1973,4071,5369,7151
2023,4774,2716,5211
2024,872,1624,3342
2076,1280,79,341
2257,2380,456,3916
2544,154,353,804
3126,7409,709,264
3181,3939,4780,3041
3275,3054,3220,4603
3379,2709,8570,7952
3764,5704,401,395
4260,680,1188,1992
5189,7090,2709,8682
6070,6913,635,9858
6160,9858,8882,8336
6258,4744,5163,1303
6291,1466,2108,8738
6354,1624,2024,1364
7151,5369,2903,1973
7198,1624,3342,4485
8079,5244,2698,5754
8305,5911,7462,5150
8882,8336,8946,9858
8946,9858,8336,8882
9191,7842,8532,5983
9460,8882,6160,9858
9858,8946,8336,6160
196,484,951,1124
281,227,123,343
343,227,596,281
424,2259,94,13
487,693,660,575
628,785,288,1643
785,628,2242,2730
833,596,963,1245
840,2942,3264,1581
951,1124,854,1389
1100,3533,2827,6533
1245,963,1733,1407
1564,1592,2594,660
1643,1972,2859,2730
1826,3671,1150,4209
1972,2859,2666,1643
2242,2730,2666,2859
2259,8697,6688,424
2465,4356,4417,6384
2573,1573,3273,1733
2666,2859,2730,2242
2815,3273,2573,1573
2827,3533,6975,6533
2859,2666,1972,2242
3533,6533,2827,6975
5061,6975,9866,8399
5739,5343,3797,2594
6113,1592,1564,2594
6276,6975,2827,6533
6533,3533,2827,6975
6688,8697,2259,6215
6975,8399,2827,6276
7063,7795,5953,3678
8399,6975,6533,2827
9866,2827,6975,6533
130,401,264,395
228,78,75,108
282,312,377,322
289,7,19,14
557,115,178,604
733,453,919,704
743,1153,2034,3036
775,6241,638,895
913,1013,3046,2459
1133,212,733,453
1153,2034,2923,2423
1156,1096,4155,534
1294,474,3485,3625
1544,5700,8127,3141
1660,9205,822,638
2015,2927,1311,26
2034,2691,2923,1153
2098,2552,1704,1074
2298,663,408,508
2552,4517,1676,2098
2691,2034,5412,1153
2923,3883,2034,4031
2945,7093,924,30
3036,4031,4979,3883
3068,5330,3202,4517
3133,3600,4517,3202
3219,494,146,658
3254,3883,2923,4031
3551,119,5123,104
3566,5947,4828,2543
3586,5120,8160,663
3597,1096,7292,101
3600,3133,5330,4517
3782,6612,2295,9834
3883,4031,2923,4979
4054,3840,5208,3939
4517,5330,3202,2552
4972,5187,6049,948
4979,4031,3036,2923
5123,4586,6017,6835
5330,4517,3202,3068
5777,7407,982,424
6808,8692,5024,4704
7254,9566,5207,6920
7292,7372,3597,1156
7338,9972,3133,4517
7538,8316,5961,6876
8382,2253,1969,408
8446,8349,8781,5206
8585,4690,4947,6297
8692,6808,5024,4704
9287,4321,7026,3170
180,1015,213,55
189,155,161,7
232,612,725,806
248,154,125,353
365,191,735,568
446,1631,1240,1461
597,194,341,529
801,5942,6406,320
816,2018,212,146
1015,2097,4634,3085
1167,341,597,977
1312,4220,1797,9232
1393,4091,5908,1949
1500,1915,1703,520
1624,2024,6354,872
1878,6104,1783,959
1883,822,2700,1212
2029,2013,3141,3412
2337,7462,5911,6844
2486,1385,3269,1082
2543,5947,3566,4828
3590,614,4348,1015
3692,2374,1644,291
4047,8662,9768,7145
4064,2760,735,6568
4202,4509,5116,3903
4384,3195,4178,1076
4638,994,3242,3023
4685,1195,4635,6954
4711,7842,5983,9191
5150,8305,5911,7462
5241,9941,397,5244
5616,6234,7872,9129
5911,8305,7462,6844
6234,5616,9129,7872
6250,9487,4763,7963
6315,7232,360,974
6615,7135,8188,5358
6809,7424,8092,8529
6844,7462,5911,8305
6932,181,6147,975
7169,3321,9754,1797
7649,6025,7575,5033
7756,3903,3719,5551
7769,5908,1393,9323
7783,9612,9941,424
8249,4336,1135,2698
8352,1660,4319,8124
8498,4685,9286,8255
8717,1883,258,6215
8912,6054,6315,6809
107,152,44,169
152,169,107,286
169,152,286,107
242,266,336,2012
266,242,2012,336
269,3503,3211,44
286,302,152,169
302,286,821,169
308,411,509,108
331,328,616,64
411,509,308,761
509,411,308,761
552,571,683,622
569,1351,1535,2381
571,552,683,622
622,683,420,571
674,1103,552,1841
683,552,571,622
686,683,552,622
716,1414,683,571
761,509,411,634
784,132,1440,114
791,1052,1101,1532
821,302,716,1459
908,1149,1101,1052
952,1436,1063,955
1103,674,552,1841
1260,2519,3455,3713
1379,1858,1763,2261
1414,1459,716,683
1436,1063,955,952
1459,1414,716,683
1746,4095,2354,2519
1763,1858,2261,1379
1858,1379,1763,2261
2012,2214,2184,2398
2184,2398,2214,2547
2214,2184,2012,2398
2261,2568,1763,1858
2310,8513,2318,8934
2327,932,3361,2220
2354,3713,1746,1260
2388,1415,5713,990
2398,2547,2184,2214
2455,40,710,973
2547,2398,2184,2737
2568,2773,2261,1763
2746,2737,3223,2547
2773,2568,2261,3517
2874,3258,3213,3605
2981,2277,4022,2746
3066,2737,3223,2547
3098,4813,3713,3455
3162,4813,4986,3098
3163,5314,2981,2737
3213,3258,3605,2874
3455,2519,2547,3713
3517,3622,2773,2568
3622,3517,3801,2773
3713,4813,3455,3098
4005,310,465,1107
4813,3098,3713,4986
4913,6528,9168,8689
5006,5818,3605,4754
5966,5642,4986,4813
6528,4913,9168,8689
6552,5220,6566,4513
8689,9168,9827,6528
9168,6528,8689,4913
9827,9168,8689,6528
699,972,706,298
706,699,478,972
714,353,804,154
786,278,50,85
878,2716,2023,4968
1206,629,2902,1506
1663,1529,1206,1506
1847,8152,606,9936
2716,4774,2023,5211
2902,1206,1835,1506
3351,6822,972,706
4197,5809,284,94
4475,7327,8336,1180
5865,5460,1960,4421
7499,8812,4486,8778
7639,4943,8336,4205
8336,9858,8882,8946
8455,4862,8946,9858
9473,2902,1835,5318
168,176,72,349
176,305,243,237
349,305,176,670
367,1709,2009,3175
368,480,62,937
429,755,1343,1089
450,891,1034,1127
488,305,243,739
598,1018,1246,1964
666,167,322,377
670,675,578,556
687,366,3071,2174
703,944,915,553
739,488,553,243
757,311,840,515
865,1123,1208,553
914,910,633,7149
929,239,168,176
960,988,1278,1362
988,960,1374,1278
1018,1246,598,1964
1124,1389,951,854
1236,1389,1124,1645
1246,1018,598,2299
1318,1444,1960,2344
1360,2041,2155,2979
1427,1403,4827,1770
1444,1318,1960,2344
1479,2518,2631,2493
1498,2155,986,703
1528,2825,3174,3601
1589,1900,2155,1208
1659,3397,9225,547
1715,205,176,72
1862,2640,2977,7411
1900,1208,1123,1589
1987,1208,1123,865
2035,534,372,943
2299,2382,1964,1246
2352,944,2155,1208
2382,2299,1964,1246
2426,2504,3942,568
2485,5930,168,176
2669,3278,3298,1964
