book_id,votos,nota_media
359,2925,4.0
360,2864,4.0
361,3421,3.8
362,2497,4.1
363,1538,4.0
364,3231,4.3
365,1965,4.2
366,1318,4.2
367,2118,4.0
368,3479,4.0
369,2123,3.7
370,2000,3.8
371,2629,3.9
372,2885,4.0
373,2889,4.1
374,2230,4.1
375,3625,3.8
376,2446,3.5
377,3250,4.0
378,2700,3.9
379,2705,3.8
380,1887,3.9
381,2592,3.9
382,1553,3.8
383,2511,3.4
384,2219,4.2
385,1535,4.0
386,3409,3.8
387,3560,3.5
388,2392,3.6
389,2626,4.3
390,2926,3.7
391,2847,4.3
392,1150,3.8
393,2051,4.2
394,2098,4.3
395,3222,3.9
396,2631,3.9
397,2121,3.9
398,2095,3.8
399,2403,3.8
400,2243,3.8
401,3204,3.7
402,2897,4.1
403,1873,3.8
404,2297,3.9
405,2704,4.0
406,590,3.9
407,3144,3.9
408,2255,4.0
409,3113,4.2
410,2878,3.5
411,1682,3.6
412,1485,4.1
414,2962,3.6
415,1670,3.4
416,2713,4.1
417,2959,3.9
418,1925,4.3
419,2013,4.2
420,1779,3.7
421,2634,3.7
422,1915,4.7
423,2195,3.8
424,2910,4.0
425,2232,3.6
426,2999,3.7
427,2831,4.1
428,1952,4.3
429,2463,3.9
430,1938,4.0
431,2483,3.9
432,2549,4.1
433,1774,4.1
434,1506,3.9
435,1601,3.8
436,2427,3.8
437,2735,4.2
438,2507,3.9
439,1845,4.0
440,2157,4.1
441,2609,3.8
442,2050,4.0
443,1422,4.0
444,3161,4.3
445,1976,3.7
446,2024,4.1
447,2455,3.8
448,1251,3.6
449,1589,3.7
450,2431,3.9
451,2651,3.7
452,1944,4.0
453,3174,3.7
454,1889,4.2
455,1615,3.7
456,2457,4.0
457,2780,3.7
458,2556,4.0
459,2441,4.3
460,1999,4.4
461,3137,3.9
462,403,3.9
463,2472,4.2
465,1812,3.7
466,1782,4.5
467,2553,3.8
468,2825,3.8
469,1776,3.8
470,1172,4.0
471,2725,3.8
472,1656,4.3
473,2132,3.7
474,1556,3.8
475,1885,3.9
476,3233,4.0
477,1767,3.9
478,2653,3.6
479,2189,3.6
480,3075,4.0
481,1975,3.9
482,2131,4.1
483,2343,3.9
484,1987,3.5
485,2369,4.1
486,1991,3.8
487,3004,3.8
488,2744,4.3
489,2094,4.1
490,2027,4.4
491,1545,3.7
492,2618,3.9
493,1815,4.2
494,2522,4.0
495,2463,3.6
496,2931,3.8
497,2638,3.9
498,2398,4.0
499,2082,3.6
500,1647,3.6
501,2622,3.6
502,1070,4.2
503,2253,4.0
504,1003,4.3
505,1425,3.4
506,1980,3.9
507,1144,4.4
508,1778,3.7
509,1541,3.6
510,2217,4.0
511,1704,3.9
512,2212,4.3
513,1718,4.4
514,2203,4.2
515,2643,4.2
516,2513,4.0
517,1202,3.9
518,2310,4.1
519,2208,3.7
520,1853,4.0
521,1863,4.0
522,2373,3.9
523,2278,4.1
524,386,4.0
525,1619,3.9
526,1382,3.7
527,2485,3.8
528,2096,4.1
529,2848,3.5
530,2696,4.0
531,2643,3.4
532,1047,4.3
533,2233,3.2
534,2172,4.0
535,1733,3.9
536,1785,3.9
537,1019,3.9
538,3037,3.8
539,1699,4.3
540,2480,4.2
541,1391,4.0
542,2769,3.8
543,1798,4.3
544,2483,4.2
545,2882,4.2
546,2258,3.7
547,2404,3.7
548,899,3.5
549,1821,4.2
550,1915,4.1
551,2309,3.7
552,1285,3.9
553,2470,3.7
554,2081,4.2
555,1514,4.2
556,2583,3.5
557,2233,3.8
558,2375,3.9
559,2516,3.7
560,2361,3.6
561,2587,4.2
562,1789,4.5
563,2387,3.9
564,961,3.9
565,2007,4.2
567,2122,4.0
568,1242,4.3
569,1732,3.9
570,2229,3.9
571,1254,4.0
572,2181,3.9
573,1365,3.3
574,1774,3.9
575,2426,3.7
576,2235,3.7
577,2375,3.8
578,2352,3.5
579,1780,4.1
580,310,4.0
581,1854,4.2
582,893,3.5
583,1245,4.0
584,2311,3.4
585,882,4.3
586,1820,3.6
587,2056,3.8
588,1503,4.0
589,1328,4.0
590,2364,3.9
591,1713,4.1
592,1543,4.2
593,2143,3.9
594,1608,3.9
595,2599,3.5
596,2339,3.8
597,2236,3.8
598,1765,4.1
599,2200,4.1
600,1355,3.7
601,2174,4.1
602,2558,3.8
603,1849,4.3
604,1646,3.8
605,1318,3.6
606,2054,3.6
607,1821,4.3
608,1912,4.3
609,1903,3.4
610,1710,4.3
611,1890,3.6
612,2231,4.1
613,1949,4.0
614,1669,3.9
615,1174,4.0
616,1691,3.8
617,1635,3.6
618,2093,4.0
619,776,4.1
620,2380,4.1
621,2471,3.9
622,1303,3.6
623,1696,3.8
624,2095,3.9
625,1866,3.9
626,1865,4.2
627,1589,4.3
628,1885,4.0
629,1123,3.5
630,1152,3.8
631,2207,3.9
632,1373,3.8
633,1809,3.9
634,1215,3.8
635,1486,3.7
636,520,4.3
637,2189,4.0
638,1973,3.6
639,2170,3.9
640,2045,3.5
641,2412,3.9
642,1885,4.1
643,1400,3.6
645,1040,3.6
646,2723,3.4
647,1060,3.5
648,1727,3.9
649,1563,3.8
650,2278,3.7
651,1731,3.9
652,2139,3.9
653,1565,3.9
654,1946,3.7
655,1813,3.4
656,1052,3.6
657,1433,3.6
658,2177,3.7
659,1124,3.7
660,2325,3.4
661,1877,4.2
662,1884,4.1
663,1347,4.1
664,1830,3.8
665,1981,3.9
666,2238,3.9
667,1110,3.9
668,2032,3.7
669,1902,4.1
670,2348,3.8
671,1267,3.9
672,1947,4.1
673,1525,4.2
674,1237,3.9
675,2344,3.7
676,1124,3.9
677,1289,4.2
678,1948,4.0
679,1826,4.2
680,639,3.9
681,2141,4.1
682,2251,3.7
683,1152,3.8
684,1562,4.4
685,1200,3.6
686,1209,3.8
687,1274,4.0
688,1919,4.0
689,1895,3.6
690,1023,3.6
691,1862,4.3
692,1438,3.8
693,2181,3.6
694,1050,3.4
695,1990,4.0
696,2263,3.9
697,2040,3.8
698,1291,4.0
699,1817,3.7
700,1298,3.8
701,1932,3.6
702,1253,3.7
703,1971,3.7
704,2448,4.0
705,2021,3.5
706,1775,3.8
707,1561,3.9
708,922,3.5
709,1521,4.2
710,1611,3.6
711,1248,4.1
712,1733,4.2
713,1356,4.1
714,2333,3.9
715,2400,3.5
716,1117,3.8
717,592,4.4
719,877,3.8
720,699,4.0
721,1028,4.2
722,1789,4.0
723,1094,4.1
724,1996,3.9
725,1998,4.2
726,1420,4.1
727,2104,3.7
728,1300,4.1
729,1511,4.1
730,2147,3.3
731,1596,4.1
732,1423,3.3
733,2533,3.8
734,1930,4.4
735,1079,4.3
736,2004,3.8
737,1226,4.1
738,1998,4.1
739,2035,4.3
740,1897,4.3
741,1276,3.3
743,1659,4.2
744,817,3.9
745,1327,3.8
746,1596,4.2
747,1552,4.1
748,1955,3.9
749,1576,4.2
750,1345,4.1
751,1872,4.1
752,1532,4.4
753,898,4.1
754,1666,4.0
755,1634,4.1
756,1216,3.8
757,1920,4.4
758,1487,4.0
759,1227,4.2
760,1792,4.2
761,1141,3.6
762,1278,4.3
763,1700,3.8
764,1284,3.7
765,1203,4.1
766,1543,4.4
767,1530,4.1
768,1526,4.0
769,1591,4.4
770,2075,3.6
771,1680,3.7
772,1431,3.7
773,2225,3.8
774,1568,4.4
775,948,4.0
776,410,3.9
777,913,3.5
778,1717,3.9
779,1424,4.2
780,1394,4.7
781,1727,3.6
782,1886,3.6
783,1237,3.7
784,1068,3.9
785,1274,4.0
786,1484,4.3
787,1242,3.9
788,1283,3.9
789,1579,4.1
790,920,3.9
791,1338,3.8
792,1809,4.3
793,1977,4.2
794,1621,4.0
795,1680,3.7
797,512,4.1
798,1628,4.1
800,972,4.1
801,1547,3.8
802,1370,3.5
803,786,4.1
804,2049,3.8
805,1134,3.8
806,1875,4.2
807,1300,3.4
808,1323,4.2
809,1494,4.1
810,666,4.3
811,1329,3.7
813,1477,3.4
814,1196,3.7
815,1562,4.0
816,1525,3.7
817,1396,4.3
818,1829,3.4
819,1869,3.7
820,1819,4.1
821,982,3.6
822,1462,3.7
823,1428,3.7
824,1716,3.6
825,1606,3.8
826,2175,3.9
828,1454,4.2
829,1703,3.9
830,906,3.7
831,1018,3.9
832,984,4.0
833,1810,3.6
835,614,4.1
836,1413,3.8
837,1043,3.9
838,1742,3.7
839,1904,3.8
840,1847,4.3
841,1149,4.4
842,1276,4.2
843,574,3.6
844,1158,4.0
845,332,4.1
846,1404,4.1
847,1451,3.7
848,1705,3.9
849,936,3.6
850,1555,3.7
851,1701,3.5
853,1334,3.9
854,1072,3.8
855,1871,3.9
856,1534,3.7
857,1565,4.0
858,1474,4.2
859,1148,4.0
860,1730,3.8
861,1190,4.1
862,1373,4.7
863,1291,4.3
864,1472,4.1
865,1806,3.8
866,1459,3.9
867,1368,3.8
868,1714,4.1
869,1587,3.6
870,827,4.3
871,1780,3.8
872,1415,3.9
873,1409,3.8
874,1057,3.9
875,1248,3.6
876,1553,4.1
877,1539,4.1
878,621,4.0
879,1764,3.6
880,1123,3.8
881,1320,4.0
882,1457,4.1
883,1755,3.8
884,1301,3.9
885,1755,3.7
886,1286,3.9
887,1623,3.7
888,1383,4.2
889,1185,4.2
890,1469,4.1
891,1562,3.9
892,969,3.7
893,729,4.4
894,1500,4.2
895,1426,3.8
896,1333,4.0
897,1247,3.9
898,1735,3.7
899,1658,3.9
900,797,4.0
901,1445,4.0
902,1084,4.0
903,1394,3.4
904,955,3.7
905,1394,4.1
906,1566,3.8
907,830,4.0
908,1322,3.3
909,1174,4.0
910,1252,4.1
911,1720,3.3
912,1405,4.0
913,884,4.1
914,1199,4.1
915,1741,3.7
916,1684,3.5
917,1258,4.0
918,1250,3.8
919,2003,3.7
920,973,3.6
921,994,4.0
922,924,3.7
923,1257,3.7
924,1552,3.4
925,1508,3.8
926,1316,3.4
927,749,3.8
928,1256,3.9
929,1463,3.9
930,1673,3.7
931,924,3.2
932,683,4.0
933,1366,4.0
935,1619,3.8
936,1633,4.1
937,1568,4.2
938,1014,4.2
939,1258,3.7
940,1362,3.8
941,1647,3.8
942,1115,4.0
943,1346,4.0
944,1575,3.6
945,978,3.7
946,990,3.5
947,1023,4.1
948,1729,3.9
949,1482,4.0
950,888,4.3
951,1060,3.8
952,1004,3.5
953,1655,4.1
954,372,4.0
955,1113,3.5
956,861,4.3
957,1109,3.8
958,1247,4.5
959,1705,3.5
960,1348,4.3
961,1379,3.9
963,1418,3.8
964,1400,4.5
965,972,3.9
966,1479,4.1
967,1681,3.6
968,635,3.5
969,963,3.5
970,1311,4.1
971,1038,4.1
972,1491,3.8
973,1055,3.4
974,1232,3.6
975,1274,3.8
977,1496,3.9
978,1430,3.9
979,1296,3.8
980,1170,4.1
981,1127,3.5
982,1662,4.0
983,1053,4.3
984,1632,3.7
985,855,4.2
986,1608,3.5
987,942,4.4
988,1212,4.3
989,1180,4.1
990,278,3.9
991,1145,3.9
992,932,3.5
993,1348,4.0
994,1414,4.3
996,1334,4.0
997,1315,4.0
998,1307,4.5
999,1348,4.0
1000,1239,4.0
1001,1327,3.2
1002,1073,4.2
1003,1483,4.0
1004,925,3.9
1005,1378,3.7
1006,632,3.6
1007,899,3.6
1008,964,4.0
1009,1383,3.5
1010,1249,4.7
1011,1493,4.0
1012,1239,4.0
1013,627,4.1
1014,1513,4.0
1015,1051,3.9
1016,784,3.9
1017,1059,3.9
1018,1289,4.1
1019,1231,4.0
1020,1170,3.9
1021,1183,3.9
1022,1293,4.5
1023,1456,4.0
1024,1283,3.7
1025,701,3.8
1026,1250,4.3
1027,1179,4.3
1028,1308,3.5
1029,745,4.5
1030,1361,3.9
1031,1137,4.0
1032,1055,3.9
1033,1285,3.8
1034,1406,4.1
1035,407,4.0
1036,736,4.2
1037,1380,3.7
1038,1216,3.8
1039,1375,3.2
1040,1209,3.7
1041,983,4.0
1042,1427,3.9
1043,487,3.9
1044,1052,3.8
1045,848,3.9
1046,1037,3.8
1047,632,4.3
1048,1142,4.0
1049,1256,4.1
1050,1079,3.8
1051,1218,3.8
1052,1058,3.8
1053,1572,3.9
1054,1256,3.4
1055,1281,3.8
1056,1016,3.7
1057,1393,3.7
1058,964,4.0
1059,875,3.9
1060,1129,4.0
1061,1649,3.9
1063,1048,3.6
1064,1178,3.9
1065,1388,4.1
1066,792,3.7
1067,1277,4.0
1068,1102,4.0
1069,853,3.9
1070,1107,4.1
1071,1128,4.0
1072,796,3.5
1073,1335,3.7
1074,1184,4.1
1075,1752,3.6
1076,1280,3.4
1077,860,4.1
1078,481,3.9
1079,1067,3.3
1080,685,3.9
1081,1130,4.2
1082,887,3.8
1083,1097,3.6
1084,1315,3.6
1085,412,3.2
1086,1201,3.9
1087,1065,4.0
1088,1258,3.9
1089,1336,3.9
1090,1012,4.0
1091,1017,4.0
1092,1134,3.9
1093,934,3.8
1094,1638,3.7
1095,889,3.8
1096,1242,4.0
1097,564,3.7
1098,848,3.9
1099,925,4.3
1100,880,4.1
1101,1084,3.7
1102,907,3.9
1103,766,3.9
1104,683,3.4
1105,1293,3.8
1106,793,4.2
1107,962,3.6
1108,1447,4.3
1109,361,4.1
1111,616,3.3
1112,1209,4.2
1113,736,3.9
1114,937,4.0
1115,653,3.7
1117,1414,3.5
1118,1161,3.6
1119,1381,3.8
1120,1548,4.0
1121,1038,4.0
1122,813,4.0
1123,1535,3.8
1124,985,3.6
1125,338,3.0
1126,587,3.8
1127,1316,4.2
1128,1271,4.0
1129,125,3.9
1131,1319,3.9
1132,1066,3.6
1133,1694,3.8
1134,606,4.1
1135,1313,3.8
1136,1267,3.8
1137,1118,3.9
1138,998,4.0
1140,880,3.8
1141,315,3.9
1142,1184,4.1
1143,866,3.9
1144,1216,3.8
1145,1280,3.6
1146,457,4.1
1147,1028,3.7
1148,730,3.9
1149,1054,3.6
1150,1083,4.0
1151,1211,4.0
1152,874,3.7
1153,1055,4.0
1154,766,4.2
1155,1216,3.9
1156,1041,3.8
1157,589,3.7
1158,1329,4.3
1159,1237,3.9
1160,1128,4.0
1161,1332,4.0
1162,657,3.4
1163,1154,3.7
1164,1109,3.9
1166,438,3.9
1167,1307,3.9
1168,1166,4.0
1169,1046,4.2
1170,813,4.2
1171,1056,3.7
1173,1094,3.6
1174,1105,3.4
1175,947,4.1
1176,1257,4.1
1177,751,3.8
1178,1435,3.8
1179,1138,4.1
1180,511,4.1
1181,1201,4.0
1182,1036,3.9
1183,238,4.3
1184,1201,3.7
1185,1357,4.0
1186,1527,3.6
1187,1093,3.8
1188,510,3.6
1189,353,3.5
1190,1136,4.0
1191,1065,3.9
1192,827,4.3
1193,783,3.7
1194,406,3.9
1195,1222,3.9
1197,642,4.0
1198,1012,4.2
1199,914,4.2
1200,1195,4.1
1202,1483,3.8
1203,817,4.3
1204,1189,3.6
1206,644,3.4
1207,1346,3.9
1208,1474,3.8
1209,712,3.6
1210,1326,4.2
1211,1193,4.1
1212,1035,3.7
1213,1237,3.6
1214,1369,3.6
1215,720,3.7
1216,1019,4.0
1217,1296,4.0
1218,658,4.1
1220,1187,3.6
1221,1020,3.6
1222,1314,3.8
1223,1150,4.3
1224,696,4.0
1225,1101,3.9
1226,1179,4.0
1227,811,4.0
1228,1245,4.2
1229,967,4.2
1230,970,4.1
1231,1136,3.7
1232,1170,4.0
1233,1022,3.8
1234,1084,3.9
1235,777,4.2
1236,917,3.5
1237,1087,4.0
1238,1002,4.1
1239,774,3.9
1240,640,4.2
1241,577,3.9
1242,1066,3.8
1243,842,4.0
1244,671,3.8
1245,1276,3.6
1246,1142,4.1
1247,1083,3.9
1248,1507,4.0
1249,1293,3.7
1250,818,3.8
1251,724,4.1
1252,1118,3.9
1253,1089,4.1
1254,954,4.1
1255,1103,3.5
1256,1089,4.2
1257,954,4.1
1258,1098,3.9
1259,913,4.3
1260,950,3.7
1261,1452,3.9
1262,1171,3.8
1263,891,4.0
1264,1078,4.6
1265,1002,4.5
1266,961,4.1
1267,1138,4.0
1268,784,3.7
1269,1023,4.0
1270,685,3.7
1271,930,3.8
1272,1382,3.8
1273,989,4.0
1274,1076,4.3
1275,1031,4.3
1276,711,4.0
1277,581,3.9
1278,1162,4.0
1279,861,3.7
1280,1206,3.7
1281,964,3.6
1282,752,3.6
1283,857,3.7
1284,572,4.0
1285,673,4.0
1286,954,3.7
1287,897,4.2
1288,1259,4.0
1289,1072,3.9
1290,1100,3.8
1291,982,4.2
1292,1046,4.2
1293,936,4.0
1294,757,3.9
1295,899,4.1
1296,1117,3.5
1297,629,3.6
1298,835,4.1
1299,1047,3.9
1300,927,4.0
1301,1120,3.6
1302,847,3.6
1303,811,3.9
1304,1187,4.2
1305,1117,4.0
1306,979,3.2
1307,675,3.6
1309,558,3.8
1310,1048,4.1
1311,1207,3.4
1312,997,3.8
1313,732,4.4
1314,822,3.9
1315,725,4.0
1316,1266,3.6
1317,1072,3.6
1318,608,3.9
1319,1130,3.9
1320,1003,4.4
1321,400,4.2
1322,1052,4.1
1323,947,3.6
1324,800,3.8
1325,975,4.0
1326,1000,4.0
1327,1026,4.0
1328,713,4.1
1329,869,4.1
1330,764,3.9
1331,864,4.2
1332,1150,3.9
1333,417,3.9
1334,1169,3.3
1335,930,4.0
1336,951,4.2
1337,1111,4.3
1338,735,4.1
1339,1219,3.8
1340,1149,4.4
1341,1053,4.3
1342,1135,4.4
1343,1137,3.8
1344,833,3.8
1345,853,3.8
1346,896,4.1
1347,942,3.7
1348,1132,4.1
1349,502,4.1
1350,924,4.2
1351,855,4.0
1352,419,4.2
1353,1068,4.4
1354,1046,3.9
1355,246,4.5
1356,844,4.2
1357,749,3.7
1358,895,4.1
1359,881,4.1
1360,1258,3.8
1361,1008,3.8
1362,1233,3.7
1363,1136,4.3
1364,804,4.1
1365,1242,3.9
1367,1490,4.1
1368,1177,4.2
1369,750,3.8
1370,714,4.2
1371,577,4.1
1373,1261,3.9
1374,1006,4.5
1375,716,3.4
1376,355,4.0
1377,690,4.2
1378,935,3.8
1379,848,3.8
1380,897,4.5
1381,1227,3.8
1382,1028,4.1
1383,1038,4.1
1384,661,4.0
1385,1042,3.8
1386,973,3.7
1387,339,3.7
1388,1104,3.7
1389,795,3.4
1390,1076,4.0
1391,938,3.8
1392,790,3.7
1393,1027,3.9
1394,1133,4.3
1395,681,3.4
1396,752,3.9
1397,909,4.0
1398,1065,3.5
1399,676,4.2
1400,1022,3.9
1401,470,3.9
1402,1156,4.1
1403,885,3.9
1404,501,3.9
1405,1076,3.9
1406,826,4.0
1407,1146,3.6
1408,490,4.2
1410,867,4.1
1411,1112,3.9
1412,797,4.1
1413,824,3.9
1414,711,3.7
1415,268,3.9
1416,882,4.3
1417,594,3.1
1418,951,3.9
1419,995,4.4
1420,624,4.1
1421,960,3.4
1422,433,4.2
1423,1286,3.5
1424,917,3.9
1425,814,3.8
1426,884,3.7
1427,938,3.7
1428,334,4.0
1429,785,4.1
1430,655,3.2
1431,1109,4.0
1432,827,3.4
1433,860,3.5
1434,1254,3.7
1435,1350,4.2
1436,852,3.4
1437,772,4.0
1438,492,3.6
1439,1034,3.6
1440,642,4.1
1441,769,4.1
1442,897,3.4
1443,322,3.7
1444,575,4.0
1445,757,3.8
1446,287,3.6
1447,1065,4.2
1448,987,3.9
1449,933,3.8
1450,1103,4.3
1451,476,4.3
1452,927,3.9
1453,719,4.0
1454,1040,3.9
1455,1006,3.7
1456,611,4.1
1457,1143,3.3
1458,1058,3.9
1459,700,3.6
1460,924,4.0
1461,758,4.3
1462,1063,4.1
1463,904,4.0
1464,812,4.3
1465,1259,4.0
1466,859,4.2
1467,809,3.7
1468,609,3.8
1469,1060,4.1
1471,691,4.1
1472,881,4.2
1473,872,4.0
1474,965,4.1
1476,964,3.9
1477,978,3.9
1478,992,4.1
1479,993,4.0
1480,1007,4.2
1481,1115,3.1
1482,950,3.6
1483,863,4.3
1484,880,4.1
1485,718,3.7
1486,990,4.0
1487,753,4.2
1488,873,4.0
1489,1119,4.2
1490,961,4.0
1491,857,3.7
1492,905,4.2
1493,1139,4.0
1494,602,3.8
1495,542,4.0
1496,689,4.5
1497,1179,4.0
1498,1262,3.7
1499,811,4.3
1500,717,3.8
1501,900,3.7
1502,864,4.1
1503,874,4.0
1504,563,4.2
1505,799,4.2
1506,514,3.3
1507,447,4.0
1508,797,3.5
1509,987,3.9
1510,346,4.1
1511,878,3.8
1513,839,4.3
1514,742,4.1
1515,677,4.1
1516,554,3.8
1517,998,3.9
1518,1104,3.8
1519,914,4.1
1520,1046,4.0
1521,1025,3.5
1522,887,3.6
1523,700,3.7
1524,770,3.9
1525,1103,3.6
1526,1325,3.2
1527,491,4.1
1528,820,3.7
1529,525,3.4
1530,1197,4.1
1531,776,3.9
1532,785,3.6
1533,1052,3.6
1534,785,4.0
1535,739,4.0
1536,891,3.8
1537,848,3.7
1538,934,3.3
1539,943,4.0
1540,721,3.8
1541,679,4.1
1542,708,3.8
1543,813,3.6
1544,773,3.8
1545,1066,4.4
1546,750,4.1
1547,928,2.9
1548,943,4.1
1549,948,3.8
1550,571,3.9
1551,605,3.7
1552,1036,4.2
1553,950,4.0
1554,772,4.2
1555,1022,3.7
1556,859,4.3
1557,829,4.0
1558,531,4.2
1560,724,3.7
1561,1045,4.0
1562,808,4.1
1563,592,3.7
1564,1056,3.6
1565,849,3.1
1566,1195,3.2
1567,994,3.7
1569,1113,4.1
1570,922,3.8
1571,887,3.3
1572,879,4.4
1573,953,3.6
1574,960,4.0
1575,578,3.7
