title,sinopsis,isbn
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",,0439785960
1984,,0451524934
The Catcher in the Rye,"Story of Holden Caufield with his idiosyncrasies, penetrating insight, confusion, sensitivity and negativism. Holden, knowing he is to be expelled from school, decides to leave early. He spends three days in New York City and tells the story of what he did and suffered there.",0316769177
"The Girl with the Dragon Tattoo (Millennium, #1)",,0307269752
Animal Farm,"Animal Farm is a brilliant political satire and a powerful and affecting story of revolutions and idealism, power and corruption. 'All animals are equal. But some animals are more equal than others.' Mr Jones of Manor Farm is so lazy and drunken that one day he forgets to feed his livestock. The ensuing rebellion under the leadership of the pigs Napoleon and Snowball leads to the animals taking over the farm. Vowing to eliminate the terrible inequities of the farmyard, the renamed Animal Farm is organised to benefit all who walk on four legs. But as time passes, the ideals of the rebellion are corrupted, then forgotten. And something new and unexpected emerges..",0452284244
Lord of the Flies,"Lord of the Flies is a 1954 novel by Nobel Prize–winning British author William Golding. The book focuses on a group of British boys stranded on an uninhabited island and their disastrous attempt to govern themselves. Themes include the tension between groupthink and individuality, between rational and emotional reactions, and between morality and immorality. The novel has been generally well received. It was named in the Modern Library 100 Best Novels, reaching number 41 on the editor's list, and 25 on the reader's list. In 2003 it was listed at number 70 on the BBC's The Big Read poll, and in 2005 Time magazine named it as one of the 100 best English-language novels from 1923 to 2005. Time also included the novel in its list of the 100 Best Young-Adult Books of All Time. Popular reading in schools, especially in the English-speaking world, a 2016 UK poll saw Lord of the Flies ranked third in the nation's favourite books from school. (From https://en.wikipedia.org/wiki/Lord_of_the_Flies)",0140283331
"Angels & Demons  (Robert Langdon, #1)",,1416524797
Pride and Prejudice,"Pride and Prejudice is an 1813 novel of manners written by Jane Austen. The novel follows the character development of Elizabeth Bennet, the dynamic protagonist of the book who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness. Mr. Bennet, owner of the Longbourn estate in Hertfordshire, has five daughters, but his property is entailed and can only be passed to a male heir. His wife also lacks an inheritance, so his family faces becoming very poor upon his death. Thus, it is imperative that at least one of the girls marry well to support the others, which is a motivation that drives the plot.",0679783261
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",,0060764899
"The Da Vinci Code (Robert Langdon, #2)",,0307277674
The Help,"Three ordinary women are about to take one extraordinary step. Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone. Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken. Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own. Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed. In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women, mothers, daughters, caregivers, friends, view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't.",0399155341
The Kite Runner,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies. A sweeping story of family, love, and friendship told against the devastating backdrop of the history of Afghanistan over the last thirty years, The Kite Runner is an unusual and powerful novel that has become a beloved, one-of-a-kind classic. ([source][1]) [1]: https://khaledhosseini.com/books/the-kite-runner/",1594480001
"The Fellowship of the Ring (The Lord of the Rings, #1)",,0618346252
Gone Girl,Gone Girl is a 2012 crime thriller novel by American writer Gillian Flynn. It was published by Crown Publishing Group in June 2012. The novel became popular and made the New York Times Best Seller list. The sense of suspense in the novel comes from whether or not Nick Dunne is involved in the disappearance of his wife Amy. ---------- Also contained in: [Les apparences suvi de la novella Nous allons mourir ce soir](https://openlibrary.org/works/OL24801746W),0297859382
The Diary of a Young Girl,,0553296981
Of Mice and Men,"The second book in John Steinbeck’s labor trilogy, Of Mice and Men is a touching tale of two migrant laborers in search of work and eventual liberation from their social circumstances. Fiercely devoted to one another, George and Lennie plan to save up to finance their dream of someday owning a small piece of land. The pair seems unstoppable until tragedy strikes and their hopes come crashing down, forcing George to make a difficult decision regarding the welfare of his best friend. The novel is set on a ranch in Soledad, CA. Author Frank Bergon recalls reading Of Mice and Men for the first time as a teenager living in the San Joaquin Valley and remembers how he saw “as if in a jolt of light the ordinary surroundings of [his] life become worthy of literature.” Steinbeck works to propagate the notion that meaningful stories emerge from the marginalized; that even those on the fringes of society can make deserving contributions to the literary canon. Source: http://www.steinbeck.org/about-john/his-works/ ---------- Also contained in: - [Cannery Row / Of Mice and Men](https://openlibrary.org/works/OL23172W/Cannery_Row_Of_Mice_and_Men) - [Grapes of Wrath / The Moon is Down / Cannery Row / East of Eden / Of Mice and Men][1] - [Novels and Stories 1932-1937](https://openlibrary.org/works/OL23167W) - [Short Novels of John Steinbeck](https://openlibrary.org/works/OL23185W/The_Short_Novels_of_John_Steinbeck) - [Steinbeck](https://openlibrary.org/works/OL23183W/Steinbeck) - [Steinbeck Pocket Book](https://openlibrary.org/works/OL16051131W/The_Steinbeck_Pocket_Book) [1]: https://openlibrary.org/works/OL23165W/The_Grapes_of_Wrath_The_Moon_is_Down_Cannery_Row_East_of_Eden_Of_Mice_and_Men",0142000671
"Divergent (Divergent, #1)",,0062024035
The Lovely Bones,"This deluxe trade paperback edition of Alice Sebold's modern classic features French flaps and rough-cut pages.Once in a generation a novel comes along that taps a vein of universal human experience, resonating with readers of all ages. The Lovely Bones is such a book - a phenomenal #1 bestseller celebrated at once for its narrative artistry, its luminous clarity of emotion, and its astoniishing power to lay claim to the hearts of millions of readers around the world.""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973."" So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on eath continue without her - her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable traged and loss, The Lovely Bones succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy""A stunning achievement."" -The New Yorker""Deeply affecting. . . . A keenly observed portrait of familial love and how it endures and changes over time."" -New York Times""A triumphant novel. . . . It's a knockout."" -Time""Destined to become a classic in the vein of To Kill a Mockingbird. . . . I loved it."" -Anna Quindlen""A novel that is painfully fine and accomplished."" -Los Angeles Times""The Lovely Bones seems to be saying there are more important things in life on earth than retribution. Like forgiveness, like love."" -Chicago Tribune",0316166685
Romeo and Juliet,Presents in graphic novel format an adaptation of Shakespeare's play of the tragic consequences of a deadly feud between two rival families in Renaissance Verona.,0743477111
Memoirs of a Geisha,"A literary sensation and runaway bestseller, this brilliant debut novel tells with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.Speaking to us with the wisdom of age and in a voice at once haunting and startlingly immediate, Nitta Sayuri tells the story of her life as a geisha. It begins in a poor fishing village in 1929, when, as a nine-year-old girl with unusual blue-gray eyes, she is taken from her home and sold into slavery to a renowned geisha house. We witness her transformation as she learns the rigorous arts of the geisha: dance and music; wearing kimono, elaborate makeup, and hair; pouring sake to reveal just a touch of inner wrist; competing with a jealous rival for men's solicitude and the money that goes with it. In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction--at once romantic, erotic, suspenseful--and completely unforgettable.From the Trade Paperback edition.",0739326228
The Fault in Our Stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten. ([source][1]) [1]: http://www.johngreenbooks.com/the-fault-in-our-stars",0525478817
"The Giver (The Giver, #1)",,0385732554
"A Game of Thrones (A Song of Ice and Fire, #1)",,0553588486
"Little Women (Little Women, #1)",,0451529308
The Book Thief,"The extraordinary, beloved novel about the ability of books to feed the soul even in the darkest of times. When Death has a story to tell, you listen. It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will become busier still. Liesel Meminger is a foster girl living outside of Munich, who scratches out a meager existence for herself by stealing when she encounters something she can’t resist–books. With the help of her accordion-playing foster father, she learns to read and shares her stolen books with her neighbors during bombing raids as well as with the Jewish man hidden in her basement. In superbly crafted writing that burns with intensity, award-winning author Markus Zusak, author of I Am the Messenger, has given us one of the most enduring stories of our time. “The kind of book that can be life-changing.” —The New York Times",0375831002
Water for Elephants,"As a young man, Jacob Jankowski was tossed by fate onto a rickety train that was home to the Benzini Brothers Most Spectacular Show on Earth. It was the early part of the great Depression, and for Jacob, now ninety, the circus world he remembers was both his salvation and a living hell. A veterinary student just shy of a degree, he was put in charge of caring for the circus menagerie. It was there that he met Marlena, the beautiful equestrian star married to August, the charismatic but twisted animal trainer. And he met Rosie, an untrainable elephant who was the great gray hope for this third-rate traveling show. The bond that grew among this unlikely trio was one of love and trust, and, ultimately, it was their only hope for survival.",1565125606
Fahrenheit 451,"Fahrenheit 451 is a 1953 dystopian novel by American writer Ray Bradbury. Often regarded as one of his best works, the novel presents a future American society where books are outlawed and ""firemen"" burn any that are found. The book's tagline explains the title as ""'the temperature at which book paper catches fire, and burns"": the autoignition temperature of paper. The lead character, Guy Montag, is a fireman who becomes disillusioned with his role of censoring literature and destroying knowledge, eventually quitting his job and committing himself to the preservation of literary and cultural writings. The novel has been the subject of interpretations focusing on the historical role of book burning in suppressing dissenting ideas for change. In a 1956 radio interview, Bradbury said that he wrote Fahrenheit 451 because of his concerns at the time (during the McCarthy era) about the threat of book burning in the United States. In later years, he described the book as a commentary on how mass media reduces interest in reading literature. In 1954, Fahrenheit 451 won the American Academy of Arts and Letters Award in Literature and the Commonwealth Club of California Gold Medal. It later won the Prometheus ""Hall of Fame"" Award in 1984 and a ""Retro"" Hugo Award, one of a limited number of Best Novel Retro Hugos ever given, in 2004. Bradbury was honored with a Spoken Word Grammy nomination for his 1976 audiobook version. ---------- Also contained in: - [451° по Фаренгейту: Рассказы](https://openlibrary.org/works/OL17811384W/Fahrenheit_451_stories) - [451° по Фаренгейту: повести и рассказы](https://openlibrary.org/works/OL27741633W) - [Works](https://openlibrary.org/works/OL28185143W)",0307347974
Jane Eyre,,0142437204
Life of Pi,"After the tragic sinking of a cargo ship, one solitary lifeboat remains bobbing on the wild, blue Pacific. The only survivors from the wreck are a sixteen-year-old boy named Pi, a hyena, a zebra (with a broken leg), a female orang-utan… and a 450-pound Royal Bengal tiger. The scene is set for one of the most extraordinary works of fiction in recent years.",0770430074
The Time Traveler's Wife,"Audrey Niffenegger's innovative debut, The Time Traveler's Wife, is the story of Clare, a beautiful art student, and Henry, an adventuresome librarian, who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-three and Henry thirty-one. Impossible but true, because Henry is one of the first people diagnosed with Chrono-Displacement Disorder: periodically his genetic clock resets and he finds himself misplaced in time, pulled to moments of emotional gravity in his life, past and future. His disappearances are spontaneous, his experiences unpredictable, alternately harrowing and amusing. ([source][1]) [1]: https://www.audreyniffenegger.com/published-books/2015/4/22/the-time-travelers-wife-2005",0965818675
"The Hitchhiker''s Guide to the Galaxy (Hitchhiker''s Guide to the Galaxy, #1)",,0345391802
"New Moon (Twilight, #2)",,0316160199
"Eclipse (Twilight, #3)",,0316160202
Brave New World,"Originally published in 1932, this outstanding work of literature is more crucial and relevant today than ever before. Cloning, feel-good drugs, antiaging programs, and total social control through politics, programming, and media -- has Aldous Huxley accurately predicted our future? With a storyteller's genius, he weaves these ethical controversies in a compelling narrative that dawns in the year 632 AF (After Ford, the deity). When Lenina and Bernard visit a savage reservation, we experience how Utopia can destroy humanity. A powerful work of speculative fiction that has enthralled and terrified readers for generations, Brave New World is both a warning to be heeded and thought-provoking yet satisfying entertainment. - Container.",0060929871
Wuthering Heights,,0393978893
"Breaking Dawn (Twilight, #4)",,031606792X
Charlotte's Web,,0064410935
The Adventures of Huckleberry Finn,,0142437174
The Girl on the Train,"A debut psychological thriller that will forever change the way you look at other people's lives. Rachel takes the same commuter train every morning. Every day she rattles down the track, flashes past a stretch of cozy suburban homes, and stops at the signal that allows her to daily watch the same couple breakfasting on their deck. She’s even started to feel like she knows them. “Jess and Jason,” she calls them. Their life—as she sees it—is perfect. Not unlike the life she recently lost. And then she sees something shocking. It’s only a minute until the train moves on, but it’s enough. Now everything’s changed. Unable to keep it to herself, Rachel offers what she knows to the police, and becomes inextricably entwined in what happens next, as well as in the lives of everyone involved. Has she done more harm than good? Compulsively readable, The Girl on the Train is an emotionally immersive, Hitchcockian thriller and an electrifying debut. [paulahawkinsbooks.com][1] [1]: http://paulahawkinsbooks.com/the-girl-on-the-train-by-paula-hawkins/",1594633665
The Curious Incident of the Dog in the Night-Time,"This is Christopher's murder mystery story. There are no lies in this story because Christopher can't tell lies. Christopher does not like strangers or the colours yellow or brown or being touched. On the other hand, he knows all the countries in the world and their capital cities and every prime number up to 7507. When Christohper decides to find out who killed the neighbour's dog, his mystery story becomes more complicated than he could ever have predicted.",1400032717
The Alchemist,,0061122416
"Ender''s Game (Ender''s Saga, #1)",,0812550706
The Secret Life of Bees,"Sue Monk Kidd's ravishing debut novel has stolen the hearts of reviewers and readers alike with its strong, assured voice. Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted ""stand-in mother,"" Rosaleen, insults three of the town's fiercest racists, Lily decides they should both escape to Tiburon, South Carolina—a town that holds the secret to her mother's past. There they are taken in by an eccentric trio of black beekeeping sisters who introduce Lily to a mesmerizing world of bees, honey, and the Black Madonna who presides over their household. This is a remarkable story about divine female power and the transforming power of love—a story that women will share and pass on to their daughters for years to come.",0142001740
Where the Sidewalk Ends,"If you are a dreamer, come in, If you are a dreamer, A wisher, a liar, A hope-er, a pray-er, A magic bean buyer... Come in ... for where the sidewalk ends, Shel Silverstein's world begins. You'll meet a boy who turns into a TV set, and a girl who eats a whale. The Unicorn and the Bloath live there, and so does Sarah Cynthia Sylvia Stout who will not take the garbage out. It is a place where you wash your shadow and plant diamond gardens, a place where shoes fly, sisters are auctioned off, and crocodiles go to the dentist. Shel Silverstein's masterful collection of poems and drawings is at once outrageously funny and profound. This special edition has 12 extra poems the did not appear in the original collection. - Jacket flap.",0060513039
"Insurgent (Divergent, #2)",,0007442912
"The Golden Compass (His Dark Materials, #1)",,0679879242
Slaughterhouse-Five,"Slaughterhouse-Five is one of the world's great anti-war books. Centering on the infamous fire-bombing of Dresden, Billy Pilgrim's odyssey through time reflects the mythic journey of our own fractured lives as we search for meaning in what we are afraid to know.",0385333846
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",,0440498058
"Eat, Pray, Love","This beautifully written, heartfelt memoir touched a nerve among both readers and reviewers. Elizabeth Gilbert tells how she made the difficult choice to leave behind all the trappings of modern American success (marriage, house in the country, career) and find, instead, what she truly wanted from life. Setting out for a year to study three different aspects of her nature amid three different cultures, Gilbert explored the art of pleasure in Italy and the art of devotion in India, and then a balance between the two on the Indonesian island of Bali. By turns rapturous and rueful, this wise and funny author (whom Booklist calls ""Anne Lamott's hip, yoga- practicing, footloose younger sister"") is poised to garner yet more adoring fans.",0143038419
Frankenstein,,0141439475
"Fifty Shades of Grey (Fifty Shades, #1)",,1612130291
Gone with the Wind,"Margaret Mitchell's monumental epic of the South won a Pulitzer Prize, gave rise to the most popular motion picture of our time, and inspired a sequel that became the fastest selling novel of the century. It is one of the most popular books ever written: more than 28 million copies of the book have been sold in more than 37 countries. Today, more than 60 years after its initial publication, its achievements are unparalleled, and it remains the most revered American saga and the most beloved work by an American writer...",0446675539
The Scarlet Letter,"Analyzes the plot, setting, characters, themes, and symbolism in Hawthorne's novel, and discusses the purpose of its ""Custom-house"" portion.",0142437263
A Thousand Splendid Suns,"After 103 weeks on the New York Times bestseller list and with four million copies of The Kite Runner shipped, Khaled Hosseini returns with a beautiful, riveting, and haunting novel that confirms his place as one of the most important literary writers today. Propelled by the same superb instinct for storytelling that made The Kite Runner a beloved classic, A Thousand Splendid Suns is at once an incredible chronicle of thirty years of Afghan history and a deeply moving story of family, friendship, faith, and the salvation to be found in love. Born a generation apart and with very different ideas about love and family, Mariam and Laila are two women brought jarringly together by war, by loss and by fate. As they endure the ever escalating dangers around them—in their home as well as in the streets of Kabul—they come to form a bond that makes them both sisters and mother-daughter to each other, and that will ultimately alter the course not just of their own lives but of the next generation. With heart-wrenching power and suspense, Hosseini shows how a woman's love for her family can move her to shocking and heroic acts of self-sacrifice, and that in the end it is love, or even the memory of love, that is often the key to survival. A stunning accomplishment, A Thousand Splendid Suns is a haunting, heartbreaking, compelling story of an unforgiving time, an unlikely friendship, and an indestructible love. ([source][1]) [1]: https://khaledhosseini.com/books/a-thousand-splendid-suns/",1594489505
The Secret Garden,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,0517189607
"The Lightning Thief (Percy Jackson and the Olympians, #1)",,0786838655
"The Girl Who Played with Fire (Millennium, #2)",,0307269981
The Handmaid's Tale,"The Handmaid's Tale is a dystopian novel by Canadian author Margaret Atwood, published in 1985. It is set in a near-future New England, in a strongly patriarchal, totalitarian theonomic state, known as the Republic of Gilead, which has overthrown the United States government. The central character and narrator is a woman named Offred, one of the group known as ""handmaids"", who are forcibly assigned to produce children for the ""commanders"" — the ruling class of men in Gilead. The novel explores themes of subjugated women in a patriarchal society, loss of female agency and individuality, and the various means by which they resist and attempt to gain individuality and independence. The Handmaid's Tale won the 1985 Governor General's Award and the first Arthur C. Clarke Award in 1987; it was also nominated for the 1986 Nebula Award, the 1986 Booker Prize, and the 1987 Prometheus Award. ---------- Also contained in: [Novels](https://openlibrary.org/works/OL24301311W)",038549081X
The Grapes of Wrath,"Steinbeck’s classic novel of the Great Depression is as vivid now as ever. The story focuses on a family of Oklahoma sharecroppers, farmers who work another man’s land for a share of the crops. Driven from their home by drought and poverty they take to the road in a battered old truck and make their way to California to look for work. When they arrive they find hundreds of others like them being forced to work for breadline wages. they begin working as fruit pickers, strike-breakers replacing the people who have been trying to establish a union but their consciences force them to leave.",0142000663
The Adventures of Tom Sawyer,,0143039563
My Sister's Keeper,"With her penetrating insight into the hearts and minds of real people, Jodi Picoult's My Sister's Keeper examines what it means to be a good parent, a good sister, a good person, and what happens when emotions meet with scientific advances. ***Now a major film.*** Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. **Anna was conceived as a bone marrow match for Kate a life and a role that she has never questioned until now.** **Like most teenagers, Anna is beginning to ask herself who she truly is.** But unlike most teenagers, she has always been defined in terms of her sister - and so Anna makes a decision that for most would be unthinkable a decision that will tear her family apart and have **perhaps fatal consequences for the sister she loves.** **Told from multiple points of view, My Sister's Keeper examines what it means to be a good parent, a good sister, a good person.** Is it morally correct to do whatever it takes to save a child's life . . . even if that means infringing upon the rights of another? Should you follow your own heart, or let others lead you? **Once again, in My Sister's Keeper, *Jodi Picoult tackles a controversial real-life subject with grace, wisdom, and sensitivity.***",0743454537
Sense and Sensibility,,0141439661
"Eragon (The Inheritance Cycle, #1)",,0375826696
The Giving Tree,"From Shel Silverstein, New York Times bestselling author of Where the Sidewalk Ends and A Light in the Attic, comes a poignant picture book about love and acceptance, cherished for over fifty years. This classic is perfect for both young readers and lifelong fans. ""Once there was a tree...and she loved a little boy."" So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein. This moving parable for all ages offers a touching interpretation of the gift of giving and a serene acceptance of another's capacity to love in return. Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave. This is a tender story, touched with sadness, aglow with consolation. The Giving Tree is a meaningful gift for milestone events such as graduations, birthdays, and baby showers. Shel Silverstein's incomparable career as a bestselling children's book author and illustrator began with Lafcadio, the Lion Who Shot Back. He is also the creator of picture books including A Giraffe and a Half, Who Wants a Cheap Rhinoceros?, The Missing Piece, The Missing Piece Meets the Big O, and the perennial favorite The Giving Tree, and of classic poetry collections such as Where the Sidewalk Ends, A Light in the Attic, Falling Up, Every Thing On It, Don't Bump the Glump!, and Runny Babbit plus Runny Babbit Returns.",0060256656
Catch-22,"*Catch-22* is like no other novel. It has its own rationale, its own extraordinary character. It moves back and forth from hilarity to horror. It is outrageously funny and strangely affecting. It is totally original. Set in the closing months of World War II in an American bomber squadron off Italy, *Catch-22* is the story of a bombardier named Yossarian, who is frantic and furious because thousands of people he hasn't even met keep trying to kill him. *Catch-22* is a microcosm of the twentieth-century world as it might look to someone dangerously sane. It is a novel that lives and moves and grows with astonishing power and vitality -- a masterpiece of our time. - Back cover.",0684833395
Hamlet,,0521618746
The Shining (The Shining #1),,0450040186
"A Clash of Kings  (A Song of Ice and Fire, #2)",,0553381695
The Little Prince,,0156012197
The Road,"Cormac McCarthy's tenth novel, The Road, is his most harrowing yet deeply personal work. Some unnamed catastrophe has scourged the world to a burnt-out cinder, inhabited by the last remnants of mankind and a very few surviving dogs and fungi. The sky is perpetually shrouded by dust and toxic particulates; the seasons are merely varied intensities of cold and dampness. Bands of cannibals roam the roads and inhabit what few dwellings remain intact in the woods. Through this nightmarish residue of America a haggard father and his young son attempt to flee the oncoming Appalachian winter and head towards the southern coast along carefully chosen back roads. Mummified corpses are their only benign companions, sitting in doorways and automobiles, variously impaled or displayed on pikes and tables and in cake bells, or they rise in frozen poses of horror and agony out of congealed asphalt. The boy and his father hope to avoid the marauders, reach a milder climate, and perhaps locate some remnants of civilization still worthy of that name. They possess only what they can scavenge to eat, and the rags they wear and the heat of their own bodies are all the shelter they have. A pistol with only a few bullets is their only defense besides flight. Before them the father pushes a shopping cart filled with blankets, cans of food and a few other assets, like jars of lamp oil or gasoline siphoned from the tanks of abandoned vehicles—the cart is equipped with a bicycle mirror so that they will not be surprised from behind. Through encounters with other survivors brutal, desperate or pathetic, the father and son are both hardened and sustained by their will, their hard-won survivalist savvy, and most of all by their love for each other. They struggle over mountains, navigate perilous roads and forests reduced to ash and cinders, endure killing cold and freezing rainfall. Passing through charred ghost towns and ransacking abandoned markets for meager provisions, the pair battle to remain hopeful. They seek the most rudimentary sort of salvation. However, in The Road, such redemption as might be permitted by their circumstances depends on the boy’s ability to sustain his own instincts for compassion and empathy in opposition to his father’s insistence upon their mutual self-interest and survival at all physical and moral costs. The Road was the winner of the 2006 Pulitzer Prize for Literature. ([source][1]) [1]: https://www.cormacmccarthy.com/works/the-road/",0307265439
"The Notebook (The Notebook, #1)",,0553816713
"The Girl Who Kicked the Hornet''s Nest (Millennium, #3)",,030726999X
Dracula,,0393970124
"Jurassic Park (Jurassic Park, #1)",,030734813X
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",,0060987103
A Tale of Two Cities,,0141439602
"Anne of Green Gables (Anne of Green Gables, #1)",,0451528824
"City of Bones (The Mortal Instruments, #1)",,1416914285
"The Two Towers (The Lord of the Rings, #2)",,0618346260
Night (The Night Trilogy #1),,0374500010
Macbeth,"The play concerns a trusted general who secretly lusts for power. Encouraged by the prophecies of three witches and urged on by his ambitious wife Macbeth commits regicide. Left fearful and superstitious by this desperate act he is driven to a spiralling course of murder and outrage, almost inevitably culminating in his own death. One of Shakespeare’s most popular tragedies, Macbeth is ostensibly based on the Scottish king although the story represented in the play bears no relation to historical fact as the true King Macbeth was well respected by his contemporaries. This book includes the hero Macbeth becoming more and more evil after he gets told his ""destiny"" by the witches and becomes greedy with power.",0743477103
The Picture of Dorian Gray,,0375751513
Where the Wild Things Are,"This is an inspired children's book about a boy's passage through tempestuous aspects of life. Max, a naughty little boy, sent to bed without his supper, sails to the land of the wild things, where he becomes their king.",0099408392
The Poisonwood Bible,"The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",0060786507
